콘텐츠ID,변경전콘텐츠명,변경후콘텐츠명,candidate_원본콘텐츠명,변경여부,처리사유,콘텐츠형태,담당부서,담당자명
110979,[카카오창작지원금] 이미 넌 사랑,[정산정보없음]_[카카오창작지원금] 이미 넌 사랑,[카카오창작지원금] 이미 넌 사랑,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
110985,[카카오창작지원금] 중전마마의 야릇한 사정,[정산정보없음]_[카카오창작지원금] 중전마마의 야릇한 사정,[카카오창작지원금] 중전마마의 야릇한 사정,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
110990,[카카오창작지원금] 키스까지 한순간,[정산정보없음]_[카카오창작지원금] 키스까지 한순간,[카카오창작지원금] 키스까지 한순간,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
111203,We're Nobody,[정산정보없음]_We're Nobody,We're Nobody,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
111967,낙하산과 클레오파트라,[정산정보없음]_낙하산과 클레오파트라,낙하산과 클레오파트라,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
112284,다시 사랑,[정산정보없음]_다시 사랑,다시 사랑,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
112815,리아의 계약,[정산정보없음]_리아의 계약,리아의 계약,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
113689,사막의 남자,[정산정보없음]_사막의 남자,사막의 남자,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
114630,열풍[무삭제판],[정산정보없음]_열풍[무삭제판],열풍[무삭제판],Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
115001,이방인의 청혼,[정산정보없음]_이방인의 청혼,이방인의 청혼,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
116297,헤어드레서(19금 개정본),[정산정보없음]_헤어드레서(19금 개정본),헤어드레서(19금 개정본),Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160069,잔다르크,[정산정보없음]_잔다르크,잔다르크,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160076,지니 의남자들,[정산정보없음]_지니 의남자들,지니 의남자들,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160079,달이가득차오를때,[정산정보없음]_달이가득차오를때,달이가득차오를때,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160091,시간의기억,[정산정보없음]_시간의기억,시간의기억,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160151,소설황당무계,[정산정보없음]_소설황당무계,소설황당무계,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=2; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160192,열정시대,[정산정보없음]_열정시대,열정시대,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
160278,시아버지권,[정산정보없음]_시아버지권,시아버지권,Y,live dry-run current_title 기준 정산정보없음 표식 추가. 지급정산관리_존재_채널수=0; 정산정보없음_채널수=1; 담당부서=소설2팀; 담당자=김인희,소설,소설2팀,김인희
