순수판정,조치,플랫폼,S2판매채널명,판매채널콘텐츠ID,판매채널ID,콘텐츠ID,콘텐츠명,콘텐츠형태,판매채널명,사용안함_사용금지_표식,지급정산관리_존재,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,IPS_존재,콘텐츠명_IPS,담당부서,담당자명,장르,세부장르,원본파일,판매채널콘텐츠ID_빈값,지급정산관리_지급정산상태,지급정산관리_승인상태,귀속법인,서비스유형,작가필명,등급
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487082,87,246323,"기사,그판타지의세계",소설,교보문고(소설),N,N,,,,Y,"기사,그판타지의세계",소설편집팀,이선근,,판타지,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),687292,87,316839,까마귀 전당포의 수상한 장부,소설,교보문고(소설),N,N,,,,Y,까마귀 전당포의 수상한 장부,소설유통팀,김성경,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,-
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),488203,87,246987,까페라나,소설,교보문고(소설),N,N,,,,Y,까페라나,소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,김경란,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),112481,87,111901,꿈의 맛(외전증보판),소설,교보문고(소설),N,N,,,,Y,꿈의 맛(외전증보판),소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,정은향,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),112486,87,111906,끝내 사랑하다,소설,교보문고(소설),N,N,,,,Y,끝내 사랑하다,소설편집팀,이선근,,현대로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,은여경,성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),112504,87,111924,나는 조선의 국모다,소설,교보문고(소설),N,N,,,,Y,나는 조선의 국모다,소설편집팀,이선근,,일반서,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,단행본,이수광,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),701866,87,314985,나와 시노부 씨의 미스터리 펫숍,소설,교보문고(소설),N,N,,,,Y,나와 시노부 씨의 미스터리 펫숍,소설유통팀,김성경,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,-
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),487092,87,246333,"남과여,첫경험은어떻게다를까?",소설,교보문고(소설),N,N,,,,Y,"남과여,첫경험은어떻게다를까?",소설편집팀,이선근,,기타,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),163367,87,160172,냉홍검,소설,교보문고(소설),N,N,,,,Y,냉홍검,소설편집팀,이선근,남성향,무협,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,와룡생,비성인
01_정산정보없음_판매채널콘텐츠ID,정산정보 없음 후보. 지급정산관리 등록 전 매핑 금지.,교보,교보문고(소설),717855,87,315632,네가 떠난 후,소설,교보문고(소설),N,N,,,,Y,네가 떠난 후,소설유통팀,김성경,,로맨스,교보문고(소설)_원본.xlsx,N,,,키다리스튜디오,,,-
