"Platform","Source","Destination","Bytes","LastWriteTime"
"미소설","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미소설\2월\2026년 2월 미소설 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미소설\2월\2026년 2월 미소설 정산상세.xlsx","21089","2026-03-03 오전 10:01:29"
"미스터블루","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx","2726077","2026-03-03 오후 3:15:32"
"밀리의서재","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx","101019","2026-03-04 오후 12:25:06"
"부커스","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\부커스\2월\2026년 2월 부커스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\부커스\2월\2026년 2월 부커스 정산상세.xlsx","21093","2026-03-03 오후 2:16:42"
"북큐브","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx","20898","2026-03-05 오후 12:20:29"
"북큐브","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx","39290","2026-03-05 오전 11:21:15"
"북팔","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북팔\2월\2026년 2월 북팔 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\북팔\2월\2026년 2월 북팔 정산상세.xlsx","12437","2026-03-04 오후 12:10:16"
"블라이스","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\블라이스\2월\2026년 2월 블라이스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\블라이스\2월\2026년 2월 블라이스 정산상세.xlsx","19044","2026-03-05 오전 9:59:48"
"스낵북","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\스낵북\2월\2026년 2월 스낵북 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\스낵북\2월\2026년 2월 스낵북 정산상세.xlsx","10357","2026-03-03 오후 5:17:54"
"스토린랩","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx","143159","2026-04-09 오후 2:37:48"
"알라딘 종이책","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx","10522","2026-03-04 오전 10:13:35"
"알라딘 종이책","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx","10270","2026-03-04 오전 10:03:23"
"알라딘 종이책","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx","13161","2026-03-06 오전 9:48:15"
"알라딘","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\알라딘\2월\2026년 2월 알라딘 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\알라딘\2월\2026년 2월 알라딘 정산상세.xlsx","171261","2026-03-03 오전 8:58:04"
"에이블리","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\에이블리\2월\2026년 2월 에이블리 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\에이블리\2월\2026년 2월 에이블리 정산상세.xlsx","84543","2026-03-04 오후 12:33:31"
"에피루스","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\에피루스\2월\2026년 2월 에피루스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\에피루스\2월\2026년 2월 에피루스 정산상세.xlsx","32683","2026-03-23 오전 9:15:46"
"예스24","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\예스24\2월\2026월 2월 예스24 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\예스24\2월\2026월 2월 예스24 정산상세.xlsx","166314","2026-03-03 오후 4:32:38"
"올툰","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\올툰\2월\2026년 2월 올툰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\올툰\2월\2026년 2월 올툰 정산상세.xlsx","15127","2026-03-04 오후 5:37:27"
"원스토어","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\원스토어\2월\2026년 2월 원스토어 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\원스토어\2월\2026년 2월 원스토어 정산상세.xlsx","3228715","2026-03-23 오전 9:11:32"
"윌라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\윌라\2월\2026년 2월 윌라 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\윌라\2월\2026년 2월 윌라 정산상세.xlsx","89473","2026-03-23 오전 10:30:39"
"조아라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx","10369","2026-03-03 오후 2:51:54"
"조아라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx","15031","2026-03-03 오후 2:51:19"
"조아라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx","11199","2026-03-03 오후 2:46:47"
"조아라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx","17211","2026-03-03 오후 2:46:23"
"조아라","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx","9871","2026-03-03 오후 2:47:40"
"카카오","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx","335137","2026-03-06 오전 10:11:17"
"카카오","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx","98979","2026-03-06 오전 9:32:08"
"큐툰","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\큐툰\2월\2026년 2월 큐툰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\큐툰\2월\2026년 2월 큐툰 정산상세.xlsx","13049","2026-03-05 오전 9:42:37"
"토스(구루컴퍼니)","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx","13563","2026-03-17 오후 3:13:41"
"판무림","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\판무림\2월\2026년 2월 판무림 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\판무림\2월\2026년 2월 판무림 정산상세.xlsx","385590","2026-03-06 오후 4:48:32"
"피우리(누온)","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx","8899","2026-03-03 오전 9:10:02"
"피플앤스토리","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx","12120","2026-03-03 오전 10:20:52"
"하이북","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\하이북\2월\2026년 2월 하이북 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\하이북\2월\2026년 2월 하이북 정산상세.xlsx","45214","2026-03-03 오전 10:35:51"
"한아름","\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\한아름\2월\2026년 2월 한아름 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\한아름\2월\2026년 2월 한아름 정산상세.xlsx","429184","2026-03-03 오후 12:49:22"
