file,relative_path,platform,file_size,extension,read_status,creator,last_modified_by,created,modified,modified_after_created_minutes,revision,application,total_time_minutes,sheet_count,hidden_sheets,very_hidden_sheets,sheet_names,used_ranges,formula_cells,array_formula_cells,merged_cells,comments_parts,hyperlinks,external_links,connections,query_tables,pivot_tables,tables,drawings,charts,images,sheet_protections,workbook_protection,auto_filters,data_validations,conditional_formats,defined_names,calc_mode,full_calc_on_load,force_full_calc,custom_properties,vba_project,touch_indicators,suspicion_score,suspicion_level
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,노벨피아,17335,.xlsx,ok,User,User,2026-03-03T07:36:57Z,2026-03-03T07:36:58Z,0.02,,Microsoft Excel,,1,0,0,일별 정산,sheet1.xml:A1:N76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,로망띠끄,17500,.xlsx,ok,,임 재경(KSTD),2026-03-03T00:42:26Z,2026-03-03T00:42:26Z,0.0,,Microsoft Excel,,1,0,0,styleB(바로북)1772498411,sheet1.xml:A1:M67,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,리디북스,7435197,.xlsx,ok,,임 재경(KSTD),2026-03-17T03:52:28Z,2026-03-17T03:52:29Z,0.02,,Microsoft Excel,,1,0,0,calculate_1,sheet1.xml:A1:BG32266,251249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,수식셀 251249,2,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\모픽\2월\2026년 2월 모픽 정산상세.xlsx,모픽\2월\2026년 2월 모픽 정산상세.xlsx,모픽,22769,.xlsx,ok,User,User,2026-03-05T06:57:16Z,2026-03-05T07:00:35Z,3.32,,Microsoft Excel,,1,0,0,작품별정산,sheet1.xml:A1:D333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\무툰\2월\2026년 2월 무툰 정산상세.xlsx,무툰\2월\2026년 2월 무툰 정산상세.xlsx,무툰,58730,.xlsx,ok,openpyxl,User,2026-03-05T00:14:25Z,2026-03-05T00:42:16Z,27.85,,Microsoft Excel,,1,0,0,Sheet,sheet1.xml:A1:O519,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,작성자와 최종수정자 다름(openpyxl -> User) | 생성 후 27.9분 뒤 저장,5,medium
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\문피아\2월\2026년 2월 문피아 정산상세.xlsx,문피아\2월\2026년 2월 문피아 정산상세.xlsx,문피아,23543,.xlsx,ok,고진숙,User,2026-03-04T06:23:22Z,2026-03-05T01:04:49Z,1121.45,,Microsoft Excel,,1,0,0,다우인큐브,sheet1.xml:A1:P120,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,0,0,작성자와 최종수정자 다름(고진숙 -> User) | 생성 후 18.7시간 뒤 저장 | 수식셀 8,9,high
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx,미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx,미소설,21365,.xlsx,ok,User,User,2026-03-03T01:01:29Z,2026-03-19T04:48:10Z,23266.68,,Microsoft Excel,,1,0,0,cpexcel20260303100057,sheet1.xml:A1:M127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,생성 후 16.2일 뒤 저장,4,medium
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미소설\2월\2026년 2월 미소설 정산상세.xlsx,미소설\2월\2026년 2월 미소설 정산상세.xlsx,미소설,21089,.xlsx,ok,User,User,2026-03-03T01:01:29Z,2026-03-03T01:01:29Z,0.0,,Microsoft Excel,,1,0,0,cpexcel20260303100057,sheet1.xml:A1:M127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,미스터블루,2726077,.xlsx,ok,,,,,,,Microsoft Excel,,2,0,0,작품별 | 볼륨별,sheet1.xml:A1:CP1061 | sheet2.xml:A1:AD25047,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,0,0,,0,low
C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_정산상세_초기원형\밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx,밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx,밀리의서재,101019,.xlsx,ok,User,User,2026-03-04T03:24:24Z,2026-03-04T03:25:06Z,0.7,,Microsoft Excel,,1,0,0,list,sheet1.xml:A1:N1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,0,0,,0,low
