판정등급,조치,Platform,YearMonth,FileName,RelativePath,SourcePath,CopiedPath,SizeBytes,LastWriteTime,DetectionStatus,DetectedAppChannel,DetectedAppPlatform,LiteralS2ChannelInFileName,AllLiteralS2Matches
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,교보,2026-04,2026년 4월 교보문고 정산상세.xlsx,교보\4월\2026년 4월 교보문고 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\교보\4월\2026년 4월 교보문고 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\교보\4월\2026년 4월 교보문고 정산상세.xlsx,1029860,2026-05-06 오전 10:36:58,S2_LITERAL_BUT_RULE_MISSING,,,교보문고,교보문고
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,구글,2026-04,2026년 4월 구글 정산상세(법인세).xlsx,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,575806,2026-05-07 오전 9:39:52,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 간딴 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx,12567,2026-05-06 오전 8:37:41,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 김악개 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx,12533,2026-05-06 오전 8:31:25,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 낙필 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx,12549,2026-05-06 오전 8:38:34,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 북홀릭 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx,12412,2026-05-06 오전 8:34:46,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 선투자 정산상세(통합).xlsx,네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx,14452,2026-05-06 오전 8:40:48,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 차라리 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx,12565,2026-05-06 오전 8:36:47,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,네이버,2026-04,2026년 4월 네이버 호수 정산상세.xlsx,네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,12551,2026-05-06 오전 8:35:33,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,노벨피아,2026-04,2026년 4월 노벨피아 정산상세.xlsx,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,14207,2026-05-04 오후 2:30:22,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,리디북스,2026-03,2026년 3월 리디 정산상세.xlsx,리디북스\3월\2026년 3월 리디 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\리디북스\3월\2026년 3월 리디 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\리디북스\3월\2026년 3월 리디 정산상세.xlsx,6941813,2026-04-16 오전 9:28:47,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,모픽,2026-04,2026년 4월 모픽 정산상세.xlsx,모픽\4월\2026년 4월 모픽 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\모픽\4월\2026년 4월 모픽 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\모픽\4월\2026년 4월 모픽 정산상세.xlsx,18865,2026-05-06 오전 10:41:14,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,무툰,2026-04,2026년 4월 무툰 정산상세.xlsx,무툰\4월\2026년 4월 무툰 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\무툰\4월\2026년 4월 무툰 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\무툰\4월\2026년 4월 무툰 정산상세.xlsx,60946,2026-05-06 오전 9:52:30,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,미스터블루,2026-04,2026년 4월 미스터블루 정산상세.xlsx,미스터블루\4월\2026년 4월 미스터블루 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\미스터블루\4월\2026년 4월 미스터블루 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\미스터블루\4월\2026년 4월 미스터블루 정산상세.xlsx,2063238,2026-05-06 오전 9:22:29,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,북큐브,2026-04,2026년 4월 북큐브(로맨스) 정산상세.xlsx,북큐브\4월\2026년 4월 북큐브(로맨스) 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\4월\2026년 4월 북큐브(로맨스) 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\북큐브\4월\2026년 4월 북큐브(로맨스) 정산상세.xlsx,15710,2026-05-07 오전 10:43:39,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,북큐브,2026-04,2026년 4월 북큐브(판무) 정산상세.xlsx,북큐브\4월\2026년 4월 북큐브(판무) 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북큐브\4월\2026년 4월 북큐브(판무) 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\북큐브\4월\2026년 4월 북큐브(판무) 정산상세.xlsx,52280,2026-05-07 오전 10:31:50,NO_S2_CHANNEL_IN_FILENAME,,,,
D_파일명수정필요_또는_수동선택,파일명에 실제 S2 판매채널명을 넣거나 앱 드롭다운에서 직접 선택,북팔,2026-04,2026년 4월 북팔 정산상세.xlsx,북팔\4월\2026년 4월 북팔 정산상세.xlsx,\\172.16.10.120\소설사업부\판무팀_ssot\100_계산서_매출등록_자료\북팔\4월\2026년 4월 북팔 정산상세.xlsx,C:\Users\wjjo\Desktop\mapping-novel\ignore\s2-term-platform-samples-20260508-verified\북팔\4월\2026년 4월 북팔 정산상세.xlsx,18016,2026-05-06 오전 10:18:23,NO_S2_CHANNEL_IN_FILENAME,,,,
