판정등급,조치,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제키,판매채널콘텐츠_콘텐츠형태,지급정산관리_존재,정산서샘플_등장,사용안함_사용금지_표식,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,정산서샘플_등장파일
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,210289,114370,애검몽,애검몽,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,163453,160222,질풍마검사,질풍마검사,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,163457,160223,패왕마검사,패왕마검사,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,163458,160223,패왕마검사,패왕마검사,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,163459,160223,패왕마검사,패왕마검사,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,163461,160223,패왕마검사,패왕마검사,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,117033,116315,혈무연,혈무연,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,구글,구글(소설),82,F000000251,Google Ireland Limited,568326,116391,화왕세기,화왕세기,소설,N,Y,N,,,,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,176284,109435,[연재] 논 마라나타(non marana tha),논마라나타,소설,N,Y,N,,,,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,110065,109544,[연재] 아이돌 공략법으로 데뷔합니다,아이돌공략법으로데뷔합니다,소설,N,Y,N,,,,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,888179,326689,김 대리는 인생이 너무 가볍다,김대리는인생이너무가볍다,소설,N,Y,N,,,,네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,110285,109764,너무 잘 아는 게임에 소환됐다_지피노_1003381_530_확정,너무잘아는게임에소환됐다,소설,N,Y,N,,,,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,630670,308318,대기업 말단이 일을 잘함,대기업말단이일을잘함,웹툰,N,Y,N,,,,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx
A_정산서등장_정산정보없음,[정산정보없음] suffix 후보. 지급정산관리 설정 확인 전 자동 매핑 금지.,네이버,네이버_연재,35,6698601888,네이버웹툰 유한회사,837469,295631,드래곤 레어에 조난당했다,드래곤레어에조난당했다,소설,N,Y,N,,,,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx
