판정등급,조치,플랫폼,S2판매채널명,S2판매채널ID,거래처코드,거래처명,판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제키,판매채널콘텐츠_콘텐츠형태,지급정산관리_존재,정산서샘플_등장,사용안함_사용금지_표식,지급정산관리_판매채널명,지급정산관리_콘텐츠명,지급정산관리_콘텐츠ID,정산서샘플_등장파일
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,489186,109323,[사용안함]_극악 연쇄간살마로 회귀했다_테서스,극악연쇄간살마로회귀했다테서스,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,674806,111914,[사용안함]_나 홀로 마법사_북홀릭,나홀로마법사북홀릭,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108551,108038,[사용안함]_내가 키운 용사가 나한테 집착한다_그림,내가키운용사가나한테집착한다그림,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108577,108064,[사용안함]_누나를 길들이다_LOCOLOCO,누나를길들이다locoloco,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109846,109326,[사용안함]_늙은 경비에게 조교당하는 스튜어디스_푸른산붉은꽃,늙은경비에게조교당하는스튜어디스푸른산붉은꽃,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,163627,160302,[사용안함]_늙은 경비에게 조교당하는 스튜어디스_푸른산붉은꽃,늙은경비에게조교당하는스튜어디스푸른산붉은꽃,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,882799,326352,[사용안함]_다따먹PD가됨_다따먹점혈법_무림누나능욕게임_탄마,다따먹pd가됨다따먹점혈법무림누나능욕게임탄마,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,839366,322007,[사용안함]_달인_앤서,달인앤서,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,888511,326740,[사용안함]_독식하는 재벌 3세_마법 배운 재벌집 늦둥이_미생법사_순혈의 헌터_스킬스_스킬스 - 현대편_시간의 마에스트로_연봉 1조 신입사원_현자귀환_서오,독식하는재벌세마법배운재벌집늦둥이미생법사순혈의헌터스킬스스킬스현대편시간의마에스트로연봉조신입사원현자귀환서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,805414,320961,[사용안함]_독식하는 재벌 3세_미생법사_순혈의 헌터_스킬스_스킬스 - 현대편_시간의 마에스트로_연봉 1조 신입사원_현자귀환_서오,독식하는재벌세미생법사순혈의헌터스킬스스킬스현대편시간의마에스트로연봉조신입사원현자귀환서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108552,108039,[사용안함]_똥녀 가고 여신 온다_탄마,똥녀가고여신온다탄마,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,675282,112349,[사용안함]_레벨원_박천웅,레벨원박천웅,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,676227,112822,[사용안함]_리턴 오브 로드_정현우,리턴오브로드정현우,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,112942,112352,[사용안함]_마법 배운 재벌집 늦둥이_서오,마법배운재벌집늦둥이서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,869878,325280,[사용안함]_마왕겁_삼국지 이신창성_학원 폭력물의 회귀 특전자_원하,마왕겁삼국지이신창성학원폭력물의회귀특전자원하,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,113485,112875,[사용안함]_마왕군 전입을 명 받았습니다_하늘곰,마왕군전입을명받았습니다하늘곰,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673144,108830,[사용안함]_마왕으로 산다_하늘곰,마왕으로산다하늘곰,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108553,108040,[사용안함]_마인드 뮤직_얼끼,마인드뮤직얼끼,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109847,109327,[사용안함]_만렙요원 : 재벌이 되다_준강,만렙요원재벌이되다준강,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,676403,112954,[사용안함]_말년에 이계라니_정현우,말년에이계라니정현우,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,673191,109328,[사용안함]_모성+애 용사_키제이,모성애용사키제이,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108566,108053,[사용안함]_무능 귀족 여체 하렘_외도정사,무능귀족여체하렘외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,108554,108041,[사용안함]_무림미녀전기_탄마,무림미녀전기탄마,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,109849,109329,[사용안함]_무인도 하렘 생활기_외도정사,무인도하렘생활기외도정사,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,805416,320963,[사용안함]_미생법사_서오,미생법사서오,소설,N,N,Y,,,,
C_사용안함_사용금지_선차단,매핑 기준에서 선 차단.,교보,교보문고(소설),87,1028111670,(주)교보문고,675288,112350,[사용안함]_미스터 프레지던트 2부_하늘곰,미스터프레지던트하늘곰,소설,N,N,Y,,,,
