순번,상태,플랫폼,판매채널명,판매채널ID,행수,파일명,저장경로,오류
24,success,블라이스,블라이스 셀렉트,1107,348,블라이스 셀렉트_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\블라이스 셀렉트_원본.xlsx,
25,success,블라이스,블라이스_인앱결제,57,569,블라이스_인앱결제_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\블라이스_인앱결제_원본.xlsx,
26,success,블라이스,블라이스_일반결제,58,995,블라이스_일반결제_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\블라이스_일반결제_원본.xlsx,
27,success,스낵북,스낵북(알에스),74,522,스낵북(알에스)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\스낵북(알에스)_원본.xlsx,
28,success,스토린랩,스토린랩(원스토어),77,2068,스토린랩(원스토어)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\스토린랩(원스토어)_원본.xlsx,
29,success,신영미디어,신영미디어,80,373,신영미디어_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\신영미디어_원본.xlsx,
30,success,알라딘,알라딘(소설)(1068659313),55,1373,알라딘(소설)(1068659313)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\알라딘(소설)(1068659313)_원본.xlsx,
31,success,에이블리,에이블리(소설),40,474,에이블리(소설)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\에이블리(소설)_원본.xlsx,
32,success,에피루스,에피루스 이북클럽(B2C),73,871,에피루스 이북클럽(B2C)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\에피루스 이북클럽(B2C)_원본.xlsx,
33,success,예스24,Yes24(서점),54,3996,Yes24(서점)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\Yes24(서점)_원본.xlsx,
34,success,예스24,Yes24(시프트북스),85,247,Yes24(시프트북스)_원본.xlsx,C:\Users\wjjo\Desktop\mapping-novel\판매채널-지급정산 불일치\03_S2_판매채널콘텐츠_증거\판매채널콘텐츠_원본_xlsx\20260508\Yes24(시프트북스)_원본.xlsx,
