"new_file","destination","original_relative_path","selected_s2_channel","platform","decision","feed_rows","s2_matched","s2_no_match","review_rows","duplicate_candidate_keys","transfer_rows","transfer_blocked_rows"
"2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 단행본 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 단행본 정산상세.xlsx","조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx","조아라(소설)","조아라","selected_by_best_match","8","8","0","0","5","0","8"
"2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 정산상세.xlsx","조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx","조아라(소설)","조아라","selected_by_best_match","73","72","1","1","29","0","73"
"2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 단행본 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 단행본 정산상세.xlsx","조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx","조아라(소설)","조아라","selected_by_best_match","24","18","6","6","1","0","24"
"2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 정산상세.xlsx","조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx","조아라(소설)","조아라","selected_by_best_match","111","103","8","8","21","0","111"
"2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx","조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx","조아라(소설)","조아라","selected_by_best_match","1","1","0","0","0","0","1"
"2026-02__카카오페이지(소설)__카카오__2026년 2월 카카오페이지(일반) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__카카오페이지(소설)__카카오__2026년 2월 카카오페이지(일반) 정산상세.xlsx","카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx","카카오페이지(소설)","카카오","selected_by_best_match","1457","1421","36","36","116","0","1457"
"2026-02__카카오페이지(선투자)__카카오__2026년 2월 카카오페이지(선투자) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__카카오페이지(선투자)__카카오__2026년 2월 카카오페이지(선투자) 정산상세.xlsx","카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx","카카오페이지(선투자)","카카오","selected_by_filename","395","361","34","34","37","0","395"
"2026-02__큐툰(소설 서비스)__큐툰__2026년 2월 큐툰 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__큐툰(소설 서비스)__큐툰__2026년 2월 큐툰 정산상세.xlsx","큐툰\2월\2026년 2월 큐툰 정산상세.xlsx","큐툰(소설 서비스)","큐툰","selected_by_best_match","25","24","1","1","5","0","25"
"2026-02__토스(소설)__토스(구루컴퍼니)__2026년 2월 토스 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__토스(소설)__토스(구루컴퍼니)__2026년 2월 토스 정산상세.xlsx","토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx","토스(소설)","토스(구루컴퍼니)","selected_by_best_match","45","45","0","0","28","0","45"
"2026-02__판무림__판무림__2026년 2월 판무림 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__판무림__판무림__2026년 2월 판무림 정산상세.xlsx","판무림\2월\2026년 2월 판무림 정산상세.xlsx","판무림","판무림","selected_by_filename","3331","2979","352","352","34","0","3331"
"2026-02__누온__피우리(누온)__2026년 2월 누온(피우리) 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__누온__피우리(누온)__2026년 2월 누온(피우리) 정산상세.xlsx","피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx","누온","피우리(누온)","selected_by_filename","25","25","0","0","4","0","25"
"2026-02__피플앤스토리 (P2P 웹소설 서비스)__피플앤스토리__2026년 2월 피플앤스토리 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__피플앤스토리 (P2P 웹소설 서비스)__피플앤스토리__2026년 2월 피플앤스토리 정산상세.xlsx","피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx","피플앤스토리 (P2P 웹소설 서비스)","피플앤스토리","selected_by_best_match","4","4","0","0","2","0","4"
"2026-02__웹소설 하이북__하이북__2026년 2월 하이북 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__웹소설 하이북__하이북__2026년 2월 하이북 정산상세.xlsx","하이북\2월\2026년 2월 하이북 정산상세.xlsx","웹소설 하이북","하이북","selected_by_best_match","355","332","23","23","69","0","355"
"2026-02__한아름(P000003716)__한아름__2026년 2월 한아름 정산상세.xlsx","C:\Users\wjjo\Desktop\mapping-novel\igignore\2026-02_app_upload_확정\2026-02__한아름(P000003716)__한아름__2026년 2월 한아름 정산상세.xlsx","한아름\2월\2026년 2월 한아름 정산상세.xlsx","한아름(P000003716)","한아름","selected_by_best_match","9253","8625","628","628","76","0","9253"
