s2_channel,target_file,target_mode,source_count,source_file,source_sheet,target_sheet,source_rows,source_cols
웹소설 하이북,2026-02__웹소설 하이북__SSOT.xlsx,copied_single_source,1,2026-02__웹소설 하이북__하이북__2026년 2월 하이북 정산상세.xlsx,,,,
윌라(전자책),2026-02__윌라(전자책)__SSOT.xlsx,copied_single_source,1,2026-02__윌라(전자책)__윌라__2026년 2월 윌라 정산상세.xlsx,,,,
조아라(소설),2026-02__조아라(소설)__SSOT.xlsx,merged_by_s2_channel,5,2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,작품별 정산리스트_2026-2,작품별 정산리스트_2026-2_1,9,6
조아라(소설),2026-02__조아라(소설)__SSOT.xlsx,merged_by_s2_channel,5,2026-02__조아라(소설)__조아라__2026년 2월 조아라 로맨스 정산상세.xlsx,작품별 정산리스트_2026-2,작품별 정산리스트_2026-2_2,74,8
조아라(소설),2026-02__조아라(소설)__SSOT.xlsx,merged_by_s2_channel,5,2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 단행본 정산상세.xlsx,작품별 정산리스트_2026-2,작품별 정산리스트_2026-2_3,25,6
조아라(소설),2026-02__조아라(소설)__SSOT.xlsx,merged_by_s2_channel,5,2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 정산상세.xlsx,작품별 정산리스트_2026-2,작품별 정산리스트_2026-2_4,112,8
조아라(소설),2026-02__조아라(소설)__SSOT.xlsx,merged_by_s2_channel,5,2026-02__조아라(소설)__조아라__2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx,후원쿠폰-작품별 정산_2026-2,후원쿠폰-작품별 정산_2026-2_5,2,6
카카오페이지(선투자),2026-02__카카오페이지(선투자)__SSOT.xlsx,copied_single_source,1,2026-02__카카오페이지(선투자)__카카오__2026년 2월 카카오페이지(선투자) 정산상세.xlsx,,,,
카카오페이지(소설),2026-02__카카오페이지(소설)__SSOT.xlsx,copied_single_source,1,2026-02__카카오페이지(소설)__카카오__2026년 2월 카카오페이지(일반) 정산상세.xlsx,,,,
큐툰(소설 서비스),2026-02__큐툰(소설 서비스)__SSOT.xlsx,copied_single_source,1,2026-02__큐툰(소설 서비스)__큐툰__2026년 2월 큐툰 정산상세.xlsx,,,,
토스(소설),2026-02__토스(소설)__SSOT.xlsx,copied_single_source,1,2026-02__토스(소설)__토스(구루컴퍼니)__2026년 2월 토스 정산상세.xlsx,,,,
판무림,2026-02__판무림__SSOT.xlsx,copied_single_source,1,2026-02__판무림__판무림__2026년 2월 판무림 정산상세.xlsx,,,,
피플앤스토리 (P2P 웹소설 서비스),2026-02__피플앤스토리 (P2P 웹소설 서비스)__SSOT.xlsx,copied_single_source,1,2026-02__피플앤스토리 (P2P 웹소설 서비스)__피플앤스토리__2026년 2월 피플앤스토리 정산상세.xlsx,,,,
한아름(P000003716),2026-02__한아름(P000003716)__SSOT.xlsx,copied_single_source,1,2026-02__한아름(P000003716)__한아름__2026년 2월 한아름 정산상세.xlsx,,,,
