묶음ID,순번,원버킷,감리버킷,추천판정,판매채널,현재정제키,행수,원문예시,best_same_score,same_channel_candidates,best_any_score,any_channel_candidates,S2존재채널,S2제목예시,priority
NOS2_01,16,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,리디북스(소설),조금은야한우리회사,60,조금은 야한 우리 회사 16화 | 조금은 야한 우리 회사 17화 | 조금은 야한 우리 회사 18화 | 조금은 야한 우리 회사 21화 | 조금은 야한 우리 회사 22화 | 조금은 야한 우리 회사 23화,0.91,0.91::0_조금은 야한 우리 회사_파워레인젖_일반::891294,0.91,0.91::교보문고(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::873923 || 0.91::네이버_연재::0_조금은 야한 우리 회사_파워레인젖_일반::889418 || 0.91::리디북스(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::891294 || 0.91::무툰(소설 서비스)::0_조금은 야한 우리 회사_파워레인젖_일반::889799 || 0.91::미소설::0_조금은 야한 우리 회사_파워레인젖_일반::889263,,,2
NOS2_01,17,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,북큐브(소설),독식하는재벌세,49,독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14 | 독식하는 재벌 3세 15,0.9231,0.9231::1980 독식하는 재벌!::673470,0.9231,0.9231::교보문고(소설)::1980 독식하는 재벌!::673477 || 0.9231::구글(소설)::1980 독식하는 재벌!::673476 || 0.9231::네이버_연재::1980 독식하는 재벌!::488558 || 0.9231::네이버_연재(광고수익)::1980 독식하는 재벌!::488560 || 0.9231::네이버_장르(광고수익)::1980 독식하는 재벌!::673478,,,2
NOS2_01,19,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,한아름(P000003716),야한규칙으로다따먹음,42,[연재] 야한 규칙으로 다 따먹음,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::868970,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
NOS2_01,20,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,원스토어(소설),조금은야한우리회사,41,조금은 야한 우리 회사,0.91,0.91::0_조금은 야한 우리 회사_파워레인젖_일반::891874,0.91,0.91::교보문고(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::873923 || 0.91::네이버_연재::0_조금은 야한 우리 회사_파워레인젖_일반::889418 || 0.91::리디북스(소설)::0_조금은 야한 우리 회사_파워레인젖_일반::891294 || 0.91::무툰(소설 서비스)::0_조금은 야한 우리 회사_파워레인젖_일반::889799 || 0.91::미소설::0_조금은 야한 우리 회사_파워레인젖_일반::889263,,,2
NOS2_01,21,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,에피루스 이북클럽(B2C),늙은경비에게조교당하는스튜어디스의이야기,37,늙은 경비에게 조교당하는 스튜어디스의 이야기 13화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 159화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 160화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 161화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 162화,0.91,0.91::늙은 경비에게 조교당하는 스튜어디스::164415,0.91,0.91::구글(소설)::늙은 경비에게 조교당하는 스튜어디스::567971 || 0.91::리디북스(소설)::늙은 경비에게 조교당하는 스튜어디스::164407 || 0.91::무툰(소설 서비스)::늙은 경비에게 조교당하는 스튜어디스::164408 || 0.91::미소설::늙은 경비에게 조교당하는 스튜어디스::164409 || 0.91::미스터블루(소설)::늙은 경비에게 조교당하는 스튜어디스::164410,,,2
NOS2_01,23,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,원스토어(소설),늙은경비에게조교당하는스튜어디스의이야기,24,늙은 경비에게 조교당하는 스튜어디스의 이야기,0.91,0.91::늙은 경비에게 조교당하는 스튜어디스::164416,0.91,0.91::구글(소설)::늙은 경비에게 조교당하는 스튜어디스::567971 || 0.91::리디북스(소설)::늙은 경비에게 조교당하는 스튜어디스::164407 || 0.91::무툰(소설 서비스)::늙은 경비에게 조교당하는 스튜어디스::164408 || 0.91::미소설::늙은 경비에게 조교당하는 스튜어디스::164409 || 0.91::미스터블루(소설)::늙은 경비에게 조교당하는 스튜어디스::164410,,,2
NOS2_01,24,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,구글(소설),늙은경비에게조교당하는스튜어디스의이야기,22,늙은 경비에게 조교당하는 스튜어디스의 이야기 1권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 2권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 3권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 4권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 5권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 6권,0.91,0.91::늙은 경비에게 조교당하는 스튜어디스::567971,0.91,0.91::구글(소설)::늙은 경비에게 조교당하는 스튜어디스::567971 || 0.91::리디북스(소설)::늙은 경비에게 조교당하는 스튜어디스::164407 || 0.91::무툰(소설 서비스)::늙은 경비에게 조교당하는 스튜어디스::164408 || 0.91::미소설::늙은 경비에게 조교당하는 스튜어디스::164409 || 0.91::미스터블루(소설)::늙은 경비에게 조교당하는 스튜어디스::164410,,,2
NOS2_01,26,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,알라딘(소설)(1068659313),야한규칙으로다따먹음,16,야한 규칙으로 다 따먹음 1 | 야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 4 | 야한 규칙으로 다 따먹음 7,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::889210,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
NOS2_01,27,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,Yes24(서점),야한규칙으로다따먹음,15,야한 규칙으로 다 따먹음 1권 | 야한 규칙으로 다 따먹음 2권 | 야한 규칙으로 다 따먹음 3권,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
OTHER_01,22,OTHER,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,한아름(P000003716),혜정이의야한이야기,15,[연재] 혜정이의 야한 이야기,0.91,0.91::0_혜정이의 야한 이야기_파워레인젖_일반::846391,1.0,1.0::원스토어(소설)::혜정이의 야한 이야기::848146 || 0.91::Yes24(서점)::0_혜정이의 야한 이야기_파워레인젖_일반::863943 || 0.91::교보문고(소설)::0_혜정이의 야한 이야기_파워레인젖_일반::844483 || 0.91::구글(소설)::0_혜정이의 야한 이야기_파워레인젖_일반::901111 || 0.91::네이버_연재::0_혜정이의 야한 이야기_파워레인젖_일반::854486,원스토어(소설),혜정이의 야한 이야기,2
NOS2_01,30,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,북큐브(소설),야한규칙으로다따먹음,10,야한 규칙으로 다 따먹음 2 | 야한 규칙으로 다 따먹음 3 | 야한 규칙으로 다 따먹음 4 | 야한 규칙으로 다 따먹음 5 | 야한 규칙으로 다 따먹음 6 | 야한 규칙으로 다 따먹음 7,0.91,0.91::0_야한규칙으로 다 따먹음_파워레인젖_일반::869285,0.91,0.91::Yes24(서점)::0_야한규칙으로 다 따먹음_파워레인젖_일반::889829 || 0.91::교보문고(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::863787 || 0.91::구글(소설)::0_야한규칙으로 다 따먹음_파워레인젖_일반::901106 || 0.91::네이버_연재::0_야한규칙으로 다 따먹음_파워레인젖_일반::869284 || 0.91::무툰(소설 서비스)::0_야한규칙으로 다 따먹음_파워레인젖_일반::869635,,,2
OTHER_01,34,OTHER,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,에피루스 이북클럽(B2C),가리봉마왕족발,10,가리봉 마왕족발 2 | 가리봉 마왕족발 3 | 가리봉 마왕족발 4 | 가리봉 마왕족발 5 | 가리봉 마왕족발 6 | 가리봉 마왕족발 7,0.91,0.91::0_가리봉 마왕족발_디케이_일반::891985,1.0,1.0::네이버_연재::[연재]가리봉 마왕족발::178483 || 1.0::리디북스(소설)::[연재]가리봉 마왕족발::178485 || 1.0::미스터블루(소설)::[연재]가리봉 마왕족발::624710 || 1.0::봄툰 (B2C Web)::[연재]가리봉 마왕족발::178488 || 1.0::북팔(소설)::[연재]가리봉 마왕족발::178490,"네이버_연재, 리디북스(소설), 미스터블루(소설), 봄툰 (B2C Web), 북팔(소설), 원스토어(소설), 웹소설 하이북, 조아라(소설)",[연재]가리봉 마왕족발,2
NOS2_01,34,NOS2,B_same_channel_review_candidate,같은 채널 S2 근접후보. 표기/정제 차이 가능성 수동확인,한아름(P000003716),늙은경비에게조교당하는스튜어디스이야기,10,[연재] 늙은 경비에게 조교 당하는 스튜어디스 이야기,0.9143,0.9143::늙은 경비에게 조교당하는 스튜어디스::164418,0.9143,0.9143::구글(소설)::늙은 경비에게 조교당하는 스튜어디스::567971 || 0.9143::리디북스(소설)::늙은 경비에게 조교당하는 스튜어디스::164407 || 0.9143::무툰(소설 서비스)::늙은 경비에게 조교당하는 스튜어디스::164408 || 0.9143::미소설::늙은 경비에게 조교당하는 스튜어디스::164409 || 0.9143::미스터블루(소설)::늙은 경비에게 조교당하는 스튜어디스::164410,,,2
