판단유형,우선순위,판매채널,정제키,행수,원문예시,파일예시,대표_근거후보,필요한판단
타채널 exact 지급정산 보강 판단,4,북큐브(소설),코드네임사신,32,코드네임 사신 10 | 코드네임 사신 11 | 코드네임 사신 12 | 코드네임 사신 13 | 코드네임 사신 14 | 코드네임 사신 15,2026-02__북큐브(소설)__SSOT.xlsx,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,구글(소설),전직랭커는템빨로레벨업,21,전직 랭커는 템빨로 레벨 업! 1권 | 전직 랭커는 템빨로 레벨 업! 2권 | 전직 랭커는 템빨로 레벨 업! 3권 | 전직 랭커는 템빨로 레벨 업! 4권 | 전직 랭커는 템빨로 레벨 업! 5권,2026-02__구글(소설)__SSOT.xlsx,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,Yes24(서점),핵무기도만들어드릴까요,20,핵무기도 만들어 드릴까요? 01권 | 핵무기도 만들어 드릴까요? (외전) | 핵무기도 만들어 드릴까요? 02권 | 핵무기도 만들어 드릴까요? 03권 | 핵무기도 만들어 드릴까요? 04권 | 핵무기도 만들어 드릴까요? 05권,2026-02__Yes24(서점)__SSOT.xlsx,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,원스토어(소설),마왕이나노머신을숨김,20,마왕이 나노머신을 숨김,2026-02__원스토어(소설)__SSOT.xlsx,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,윌라(전자책),아빠의게임,20,아빠의 게임 1 | 아빠의 게임 10 | 아빠의 게임 11 | 아빠의 게임 12 | 아빠의 게임 13 | 아빠의 게임 14,2026-02__윌라(전자책)__SSOT.xlsx,카카오페이지(소설)::아빠의 게임::110470 || 윌라(오디오북)::아빠의 게임::110470,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,구글(소설),마왕이나노머신을숨김,19,마왕이 나노머신을 숨김 1권 | 마왕이 나노머신을 숨김 2권 | 마왕이 나노머신을 숨김 3권 | 마왕이 나노머신을 숨김 4권 | 마왕이 나노머신을 숨김 5권 | 마왕이 나노머신을 숨김 6권,2026-02__구글(소설)__SSOT.xlsx,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,알라딘(소설)(1068659313),각성자위탁관리인,17,각성자 위탁관리인 01 | 각성자 위탁관리인 03 | 각성자 위탁관리인 02 | 각성자 위탁관리인 08 | 각성자 위탁관리인 05 | 각성자 위탁관리인 04,2026-02__알라딘(소설)(1068659313)__SSOT.xlsx,밀리의 서재::각성자 위탁관리인::107779 || 네이버_장르::각성자 위탁관리인::107779 || 윌라(전자책)::각성자 위탁관리인::107779 || 구글(소설)::각성자 위탁관리인::107779 || 리디북스(소설)::각성자 위탁관리인::107779,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,원스토어(소설),나홀로마법사,16,나 홀로 마법사,2026-02__원스토어(소설)__SSOT.xlsx,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,원스토어(소설),전직랭커는템빨로레벨업,16,전직 랭커는 템빨로 레벨 업!,2026-02__원스토어(소설)__SSOT.xlsx,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
타채널 exact 지급정산 보강 판단,4,구글(소설),하렘으로세계정복,15,하렘으로 세계정복 1권,2026-02__구글(소설)__SSOT.xlsx,밀리의 서재::하렘으로 세계정복::107848 || 블라이스 셀렉트::하렘으로 세계정복::107848 || 윌라(전자책)::하렘으로 세계정복::107848 || 스낵북(알에스)::하렘으로 세계정복::107848 || 한아름(P000003716)::하렘으로 세계정복::107848,동일 정제키 지급정산이 다른 채널에는 있음. 해당 판매채널 지급정산을 만들지 판단
