정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
검,5,10,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),"같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(9) | 콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,구글(소설) | 리디북스(소설) | 무툰(소설 서비스) | 미스터블루(소설) | 한아름(P000003716),검(劍) | 검(劍) 1권 | 검(劍),A_정산서등장_정산정보없음::190912::111330::검(劍) || A_정산서등장_정산정보없음::111891::111330::검(劍) || A_정산서등장_정산정보없음::190905::111330::검(劍)
무유지,4,10,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(9) | 같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,교보문고(소설) | 미스터블루(소설) | 원스토어(소설) | 한아름(P000003716),무유지 | 무유지 8 | 무유지 [단행본],B_잠재오염_정산정보없음::488009::160166::무유지 || A_정산서등장_정산정보없음::163350::160166::무유지 || B_잠재오염_정산정보없음::163351::160166::무유지
시간의마에스트로,1,10,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(10)",,원스토어(소설),시간의 마에스트로,
리턴오브로드,3,9,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(9),,구글(소설) | 모픽(mofic) | 윌라(전자책),리턴 오브 로드 1 | 리턴 오브 로드 2 | 리턴 오브 로드 3 | 리턴 오브 로드 4 | 리턴 오브 로드 5 | 리턴 오브 로드 6 | 리턴 오브 로드 1권 | 리턴 오브 로드,카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746 || 카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746 || 카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746
사이코패스살인마는살고싶다,2,9,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(9)",,모픽(mofic) | 밀리의 서재,사이코패스 살인마는 살고 싶다 | 사이코패스 살인마는 살고 싶다,
소설황당무계,1,9,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(9),,교보문고(소설),소설 황당무계 1 | 소설 황당무계 2 | 소설 황당무계 3 | 소설 황당무계 4 | 소설 황당무계 5 | 소설 황당무계 6,B_잠재오염_정산정보없음::163305::160151::소설황당무계
용사무적,3,9,같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인)(9),,구글(소설) | 부커스 | 알라딘(소설)(1068659313),용사무적 1 | 용사무적 2 | 용사무적 1권 | 용사무적 5권,C_사용안함_사용금지_선차단::889209::114786::(사용안함)_용사무적 || C_사용안함_사용금지_선차단::115453::114786::(사용안함)_용사무적 || C_사용안함_사용금지_선차단::212843::114786::(사용안함)_용사무적
ts에로게임탈출기,1,8,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(8),,구글(소설),TS 에로 게임 탈출기 1권,밀리의 서재::107778 || 스낵북(알에스)::107778 || 블라이스_일반결제::107778 || 북큐브(소설)::107778 || 미소설::107778
검웅영제,4,8,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(7) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,무툰(소설 서비스) | 미소설 | 웹소설 하이북 | 판무림,검웅영제(무삭제 개정판) | 검웅영제(무삭제 개정판) | 검웅영제(무삭제 개정판) [단행본] | 검웅영제(무삭제 개정판),A_정산서등장_정산정보없음::191014::111345::검웅영제(무삭제 개정판) || A_정산서등장_정산정보없음::191013::111345::검웅영제(무삭제 개정판) || A_정산서등장_정산정보없음::111907::111345::검웅영제(무삭제 개정판)
연봉조신입사원,1,8,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(8)",,카카오페이지(선투자),연봉 1조 신입사원,
독검,2,7,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(7),,미스터블루(소설) | 원스토어(소설),독검 | 독검 [단행본],B_잠재오염_정산정보없음::488170::160066::독검 || B_잠재오염_정산정보없음::488042::160066::독검
소림대협,1,7,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(7),,교보문고(소설),소림대협 1 | 소림대협 2 | 소림대협 3 | 소림대협 4 | 소림대협 5 | 소림대협 6,B_잠재오염_정산정보없음::488196::160162::소림대협
아버지가남긴usb,2,7,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(7),,Yes24(서점) | 판무림,아버지가 남긴 USB | 아버지가 남긴 USB 01권,261481::[CP웹툰] 아버지가 남긴 USB::IP프로듀싱팀::노종아 || 150480::아버지가 남긴 USB::레진콘텐츠팀::조성경 || 261481::[CP웹툰] 아버지가 남긴 USB::IP프로듀싱팀::노종아 || 150480::아버지가 남긴 USB::레진콘텐츠팀::조성경
아포칼립스인데나혼자농사,4,7,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(7),,네이버_연재 | 원스토어(소설) | 조아라(소설) | 카카오페이지(소설),아포칼립스인데 나 혼자 농사 | 아포칼립스인데 나 혼자 농사 | 아포칼립스인데 나 혼자 농사 [독점],247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재 || 247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재 || 247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재
혈무연,6,7,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(6) | 같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,구글(소설) | 네이버_장르 | 무툰(소설 서비스) | 미스터블루(소설) | 웹소설 하이북 | 한아름(P000003716),[10%할인] 혈무연 1 | [10%할인] 혈무연 3 (완결) | 혈무연 | 혈무연 [단행본],A_정산서등장_정산정보없음::117033::116315::혈무연 || A_정산서등장_정산정보없음::222509::116315::혈무연 || A_정산서등장_정산정보없음::222510::116315::혈무연
역전세계의금태양,1,6,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(6),,윌라(전자책),역전세계의 금태양 1 | 역전세계의 금태양 2 | 역전세계의 금태양 3 | 역전세계의 금태양 4 | 역전세계의 금태양 5 | 역전세계의 금태양 6,알라딘(소설)(1068659313)::107826 || Yes24(서점)::107826 || 구글(소설)::107826 || 미스터블루(소설)::107826 || 블라이스_일반결제::107826
천의역근참수기,3,6,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(6),,무툰(소설 서비스) | 미스터블루(소설) | 판무림,천의역근참수기 | 천의역근참수기 | 천의역근참수기 [단행본],B_잠재오염_정산정보없음::218538::115644::천의역근참수기 || B_잠재오염_정산정보없음::116337::115644::천의역근참수기 || B_잠재오염_정산정보없음::218534::115644::천의역근참수기
함부로동정하지말것,1,6,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(6),,카카오페이지(소설),함부로 동정하지 말 것 [19세 완전판] | 함부로 동정하지 말 것,A_정산서등장_정산정보없음::842697::322344::[CP웹툰] 함부로 동정하지 말 것 || A_정산서등장_정산정보없음::842700::322347::함부로 동정하지 말 것 (19세 완전판)(연재)
소뢰아,1,5,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(5),,판무림,소뢰아,B_잠재오염_정산정보없음::568079::109526::[연재] 소뢰아
