세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,카카오페이지(소설),함부로동정하지말것,6,함부로 동정하지 말 것 [19세 완전판] | 함부로 동정하지 말 것,A_정산서등장_정산정보없음::842697::322344::[CP웹툰] 함부로 동정하지 말 것 || A_정산서등장_정산정보없음::842700::322347::함부로 동정하지 말 것 (19세 완전판)(연재),322347::[정산정보없음]_함부로 동정하지 말 것 (19세 완전판)(연재)::소설유통팀::이규희 || 322344::[CP웹툰] 함부로 동정하지 말 것::봄툰소설편집팀::배지은,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,원스토어(소설),독검,6,독검,B_잠재오염_정산정보없음::488170::160066::독검,160066::[정산정보없음]_독검::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),타채널 exact 지급정산 보강 판단,알라딘(소설)(1068659313),용사무적,6,용사무적 1 | 용사무적 2,C_사용안함_사용금지_선차단::889209::114786::(사용안함)_용사무적,114786::(사용안함)_용사무적::소설편집팀::조원재 || 110079::0_용사무적_만선_일반::소설편집팀::조원재,모픽(mofic)::110079 || 교보문고(소설)::110079 || 무툰(소설 서비스)::110079 || 미스터블루(소설)::110079 || 리디북스(소설)::110079,모픽(mofic)::0_용사무적_만선_일반::110079 || 교보문고(소설)::0_용사무적_만선_일반::110079 || 무툰(소설 서비스)::0_용사무적_만선_일반::110079 || 미스터블루(소설)::0_용사무적_만선_일반::110079 || 리디북스(소설)::0_용사무적_만선_일반::110079,사용안함/사용금지 가능성 우선 확인. 자동 매핑 금지
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,교보문고(소설),악작현대au,6,악작. 현대AU 외전 | 악작. 현대AU 특별외전,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,구글(소설),보수적이라며팬티는왜벗어,6,보수적이라며 팬티는 왜 벗어? 1권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,밀리의 서재,망한세상에서나혼자각성,6,망한 세상에서 나 혼자 각성,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),유산받아레벨업,6,유산 받아 레벨 업! 2화 | 유산 받아 레벨 업! 3화 | 유산 받아 레벨 업! 4화 | 유산 받아 레벨 업! 5화 | 유산 받아 레벨 업! 6화 | [e북]유산 받아 레벨 업! 1권,,,모픽(mofic)::110097 || 토스(소설)::110097 || 웹소설 하이북::110097 || 미소설::110097 || 무툰(소설 서비스)::110097,모픽(mofic)::유산 받아 레벨 업!::110097 || 토스(소설)::유산 받아 레벨 업!::110097 || 웹소설 하이북::유산 받아 레벨 업!::110097 || 미소설::유산 받아 레벨 업!::110097 || 무툰(소설 서비스)::유산 받아 레벨 업!::110097,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,원스토어(소설),핵무기도만들어드릴까요,6,핵무기도 만들어 드릴까요?,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),sss급괴물사냥꾼,6,SSS급 괴물 사냥꾼 1 | SSS급 괴물 사냥꾼 2 | SSS급 괴물 사냥꾼 3 | SSS급 괴물 사냥꾼 4 | SSS급 괴물 사냥꾼 5 | SSS급 괴물 사냥꾼 8,,,카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),리턴오브로드,6,리턴 오브 로드 1 | 리턴 오브 로드 2 | 리턴 오브 로드 3 | 리턴 오브 로드 4 | 리턴 오브 로드 5 | 리턴 오브 로드 6,,,카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746,카카오페이지(창작지원금)::리턴 오브 로드::110746 || 카카오페이지(소설)::리턴 오브 로드::110746,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),아이돌매니저가변태사진사임,6,아이돌 매니저가 변태 사진사임 2 | 아이돌 매니저가 변태 사진사임 3 | 아이돌 매니저가 변태 사진사임 4 | 아이돌 매니저가 변태 사진사임 5 | 아이돌 매니저가 변태 사진사임 6 | 아이돌 매니저가 변태 사진사임 8,,,밀리의 서재::247090 || 한아름(P000003716)::247090 || 구글(소설)::247090 || 미스터블루(소설)::247090 || 네이버_장르::247090,밀리의 서재::아이돌 매니저가 변태 사진사임::247090 || 한아름(P000003716)::아이돌 매니저가 변태 사진사임::247090 || 구글(소설)::아이돌 매니저가 변태 사진사임::247090 || 미스터블루(소설)::아이돌 매니저가 변태 사진사임::247090 || 네이버_장르::아이돌 매니저가 변태 사진사임::247090,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
