cluster_rank,sheet_count,signature,example_1,example_all
11,8,시간매출|건당매출|총매출액|배분률|정산금액,한아름\1월\2025년 1월 한아름 정산상세.xlsx::Sheet1,한아름\1월\2025년 1월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\10월\2025년 10월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\11월\2025년 11월 한아름 정산상세.xlsx::Sheet1 || 한아름\25년\12월\2025년 12월 한아름 정산상세.xlsx::정산내역서 || 한아름\25년\9월\2025년 9월 한아름 정산상세.xlsx::Sheet1
12,7,서점명|판매건수|매출|b2bc정산율|정산총액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::정리,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::정리
13,7,파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|상품명|회차|상품id|2차정산여부|카테고리|출판사|글작가|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매|취소|합계|결제수단|원화환산|앱마켓수수료|서비스이용료|정산지급액|정산유형,원스토어\1월\2026년 1월 원스토어 정산상세.xlsx::multimedia,원스토어\1월\2026년 1월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\10월\2025년 10월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\11월\2025년 11월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\12월\2025년 12월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\9월\2025년 9월 원스토어 정산상세.xlsx::multimedia
14,7,공급사|작품유형|작품번호|작품명|레이블|작가|사용코인|콘텐츠매출금액|결제수수료|정산대상금액|콘텐츠정산금액면세|콘텐츠정산금액과세|콘텐츠정산금액,토스(구루컴퍼니)\1월\2026년 1월 토스 정산상세.xlsx::정산_공급사_202601,토스(구루컴퍼니)\1월\2026년 1월 토스 정산상세.xlsx::정산_공급사_202601 || 토스(구루컴퍼니)\25년\10월\2025년 10월 토스 정산상세.xlsx::정산_공급사_202510 || 토스(구루컴퍼니)\25년\11월\2025년 11월 토스 정산상세.xlsx::정산_공급사_202511 || 토스(구루컴퍼니)\25년\12월\2025년 12월 토스 정산상세.xlsx::정산_공급사_202512 || 토스(구루컴퍼니)\25년\9월\2025년 9월 토스 정산상세.xlsx::정산_공급사_202509
15,7,작품명|작가명|출판사|prodsq|정산일|정산주기|정산상태|조회수구매|판매금액구매|정산금액구매|조회수대여|판매금액대여|정산금액대여|조회수|판매금액|정산금액,하이북\1월\2026년 1월 하이북 정산상세.xlsx::정산리스트,하이북\1월\2026년 1월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\10월\2025년 10월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\11월\2025년 11월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\12월\2025년 12월 하이북 정산상세.xlsx::정산리스트 || 하이북\2월\2026년 2월 하이북 정산상세.xlsx::정산리스트
16,6,작품id|작품명|필자명|정산비율|판매원|정산원|코인타입,스낵북\1월\2026년 1월 스낵북 정산상세.xlsx::settle_list_202601_C262666768_2,스낵북\1월\2026년 1월 스낵북 정산상세.xlsx::settle_list_202601_C262666768_2 || 스낵북\25년\10월\2025년 10월 스낵북 정산상세.xlsx::settle_list_202510_C262666768_2 || 스낵북\25년\11월\2025년 11월 스낵북 정산상세.xlsx::settle_list_202511_C262666768_2 || 스낵북\25년\12월\2025년 12월 스낵북 정산상세.xlsx::settle_list_202512_C262666768_2 || 스낵북\2월\2026년 2월 스낵북 정산상세.xlsx::settle_list_202602_C262666768_2
17,6,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\8월\2025년 8월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\9월\2025년 9월 스토린랩 정산상세.xlsx::원스
18,5,판매처|시리즈id|도서id|제목|권화수|저자|역자|그림|출판사|시리즈명|전자책정가|단권판매액|단권판매권|단권무료권|대여액|대여유료권~202004대여권|대여무료권|자유다운금액|자유다운권|세트판매액|세트판매권|세트대여액|세트대여권|취소단권판매액|취소단권판매권|취소대여액|취소대여권|취소자유다운액|취소자유다운권|취소세트판매액|취소세트판매권|취소세트대여액|취소세트대여권|판매액|판매권|취소액|취소권|일반판매액|일반취소액|앱마켓정산대상액|앱마켓수수료|앱마켓취소액|ios정산대상액|ios수수료|ios취소액|android정산대상액|android수수료|android취소액|onestore정산대상액|onestore수수료|onestore취소액|정산액|종이책isbn10|종이책isbn13|전자책isbn10|전자책isbn13|cp관리id|카테고리1|카테고리2,리디북스\10월\2025년 10월 리디북스 정산상세.xlsx::calculate_1,리디북스\10월\2025년 10월 리디북스 정산상세.xlsx::calculate_1 || 리디북스\11월\2025년 11월 리디북스 정산상세.xlsx::calculate_1 || 리디북스\234\2025년 12월 리디 정산상세.xlsx::calculate_1 || 리디북스\8월\25년 8월 리디북스 정산상세.xlsx::25년 8월 리디북스 정산상세 || 리디북스\9월\2025년 9월 리디북스 정산상세.xlsx::calculate_1
19,5,작품명|출판사|제공사|작가명|유형|정산기간|매출구분|총매출액|순매출액|정산액,모픽\1월\2026년 1월 모픽 정산상세.xlsx::작품별정산,모픽\1월\2026년 1월 모픽 정산상세.xlsx::작품별정산 || 모픽\25년\11월\2025년 11월 모픽 정산상세.xlsx::작품별정산 || 모픽\25년\12월\2025년 12월 모픽 정산상세.xlsx::작품별정산 || 모픽\3월\2026년 3월 모픽 정산상세.xlsx::작품별정산 || 모픽\4월\2026년 4월 모픽 정산상세.xlsx::작품별정산
20,5,타이틀|작품번호|작가명|날짜|종류|전체판매건수|판매코인|수익률|전체매출원|결제수수료원|지급액원미소설|지급액원asp|총지급액원,미소설\1월\2026년 1월 미소설 정산상세.xlsx::cpexcel20260202130320,미소설\1월\2026년 1월 미소설 정산상세.xlsx::cpexcel20260202130320 || 미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx::cpexcel20260303100057 || 미소설\2월\2026년 2월 미소설 정산상세.xlsx::cpexcel20260303100057 || 미소설\3월\2026년 3월 미소설 정산상세.xlsx::cpexcel20260401093554 || 미소설\4월\2026년 4월 미소설 정산상세.xlsx::cpexcel20260504104935
