platform,relative_path,source_sheet,source_row_no,reason
네이버,2026년 4월 네이버 연재 정산상세.xlsx,contentsSelling_2026-05-06,434,clean_title_blank_in_smoke_sample
문피아,2026년 4월 문피아 정산상세.xlsx,다우인큐브,51,clean_title_blank_in_smoke_sample
