relative_path,sheet,header_hits
조아라\4월\로맨스\2026년 4월 조아라 로맨스 통합 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
조아라\4월\로맨스\2026년 4월 조아라 로맨스 통합 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
조아라\4월\판무\2026년 4월 조아라 판무 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
조아라\4월\판무\2026년 4월 조아라 판무 통합 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
조아라\4월\판무\2026년 4월 조아라 판무 통합 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
카카오\선투자\9월\2025년 9월 카카오(선투자) 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
판무림\1월\2026년 1월 판무림 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
판무림\1월\2026년 1월 판무림 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
판무림\2월\2026년 2월 판무림 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
판무림\2월\2026년 2월 판무림 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
판무림\3월\2026년 3월 판무림 정산_매핑.xlsx,매핑결과,S2_판매채널콘텐츠ID | 매핑_판매채널콘텐츠ID | 판매금액
판무림\3월\2026년 3월 판무림 정산_매핑.xlsx,Sheet1,매핑_판매채널콘텐츠ID | 판매금액
