platform,relative_path,source_row_no,reason
네이버,네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx,434,clean_title_blank_in_smoke_sample
문피아,문피아\4월\2026년 4월 문피아 정산상세.xlsx,51,clean_title_blank
