platform,relative_path,sheet_name,strict_sheet_action,strict_sheet_verdict,max_row,max_column,best_header_row,best_header_title_hits,best_header_id_hits,best_header_sale_hits,best_header_settle_hits,best_header_offset_hits,shape_label,audit_flags,best_header_preview_sanitized
무툰,무툰\4월\2026년 4월 무툰 정산상세.xlsx,Sheet,include_after_amount_rule,coin/amount semantics must be confirmed,542,15,2,1,0,2,2,2,detail_candidate,merged_cells,NO | 구분 | 작가 | 장르 | 타이틀 | 사용코인 | 취소코인 | 합계 | 공제수수료 | 정산총액
문피아,문피아\4월\2026년 4월 문피아 정산상세.xlsx,다우인큐브,include_candidate,detail sheet candidate,125,31,1,1,2,2,1,0,detail_candidate,,CP | 번호 | 날짜 | 구분 | 작가 | 계정 | 작품코드 | 작품 | 구매 | 구매취소 | 대여 | 대여취소 | 총매출 | IOS매출 | Google매출 | 정산
미소설,미소설\4월\2026년 4월 미소설 정산상세.xlsx,cpexcel20260504104935,include_candidate,detail sheet candidate,108,13,1,2,0,1,1,2,detail_candidate,,타이틀 | 작품번호 | 작가명 | 날짜 | 종류 | 전체 판매 건수 | 판매 코인 | 수익률 | 전체매출(원) | 결제수수료(원) | 지급액(원) 미소설 | 지급액(원) ASP | 총지급액(원)
밀리의서재,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,list,include_candidate,detail sheet candidate,1428,14,1,2,2,0,1,0,detail_candidate,,기간 시작일 | 기간 종료일 | 레이블명 | 전자출판물 ISBN | 콘텐츠명 | 에피소드명 | 저자명 | 콘텐츠 분류 | 발생 대여 수 | 발생 Copy 수 | 매절 계약 종료일 | 발생 금액 | 정산 예정 금액 | 유통사 상품코드
부커스,부커스\4월\2026년 4월 부커스 정산상세 - 복사본.xlsx,CP 콘텐츠별 정산,exclude,"duplicate copy filename, exclude by default",177,10,1,2,1,0,1,0,detail_candidate,filename_human_work_signal,순번 | 콘텐츠 제목 | 출판사명 | 저자명 | ISBN | 도서타입 | 정가 | 정산율(%) | 정산 금액(원) | 열람 횟수
부커스,부커스\4월\2026년 4월 부커스 정산상세.xlsx,CP 콘텐츠별 정산,include_after_amount_rule,no direct sale amount; settlement amount exists,177,10,1,2,1,0,1,0,detail_candidate,,순번 | 콘텐츠 제목 | 출판사명 | 저자명 | ISBN | 도서타입 | 정가 | 정산율(%) | 정산 금액(원) | 열람 횟수
블라이스,블라이스\4월\2026년 4월 블라이스 정산상세.xlsx,CP정산20260506_085425,include_candidate,detail sheet candidate,45,22,1,2,1,1,2,1,detail_candidate,merged_cells,판매월 | 정산월 | 작품명 | 구분 | 등록유형 | 작품NO | 작가명 | 판매액 | 수수료(결제 대행 수수료 + 블라이스 운영 수수료) | 정산금액
조아라,조아라\4월\로맨스\2026년 4월 조아라 로맨스 단행본 정산상세.xlsx,작품별 정산리스트_2026-4 (1),include_after_amount_rule,schema lacks unit price; sale amount derivation unclear,14,7,1,2,2,0,2,0,detail_candidate,,작품명 | 작품코드 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일
조아라,조아라\4월\로맨스\2026년 4월 조아라 로맨스 정산상세.xlsx,작품별 정산리스트_2026-4,include_candidate,detail sheet candidate,68,8,1,2,2,0,2,0,detail_candidate,,작품명 | 작품코드 | 작가명 | 단가 | 판매건수 | 비율 | 정산금액 | 정산일
조아라,조아라\4월\판무\2026년 4월 조아라 판무 단행본 정산상세.xlsx,작품별 정산리스트_2026-4,include_after_amount_rule,schema lacks unit price; sale amount derivation unclear,37,7,1,2,2,0,2,0,detail_candidate,,작품명 | 작품코드 | 작가명 | 판매건수 | 비율 | 정산금액 | 정산일
조아라,조아라\4월\판무\2026년 4월 조아라 판무 정산상세.xlsx,작품별 정산리스트_2026-4,include_candidate,detail sheet candidate,115,8,1,2,2,0,2,0,detail_candidate,,작품명 | 작품코드 | 작가명 | 단가 | 판매건수 | 비율 | 정산금액 | 정산일
큐툰,큐툰\4월\2026년 4월 큐툰 정산상세.xlsx,Sheet,include_after_amount_rule,coin/amount semantics must be confirmed,25,15,2,1,0,2,2,2,detail_candidate,merged_cells,NO | 구분 | 작가 | 장르 | 타이틀 | 사용코인 | 취소코인 | 합계 | 공제수수료 | 정산총액
판무림,판무림\4월\2026년 4월 판무림 정산상세.xlsx,표지,exclude,"aux/cover sheet, not settlement detail",990,10,19,1,0,0,0,0,aux_sheet_name_candidate,"aux_sheet_name_signal,merged_cells",3. 선인세작품 | 선인세 대상 작품 별도 계산
판무림,판무림\4월\2026년 4월 판무림 정산상세.xlsx,세부내역,special_parser_only,detail sheet usable only after contextual duplicate amount headers are flattened,2228,27,4,2,1,1,0,0,detail_candidate,,NO | 시리즈 코드 | 각 권 코드 | 대분류 | 중분류 | 작품 제목 | 회차 제목 | 저자 | CP | 출판사 | 웹판매건수 | 앱판매건수 | 판매금액 | 웹판매건수 | 앱판매건수 | 판매금액 | 이용건수 | 이용건수 | 판매금액 | 포인트 사용 | 판매금액
피플앤스토리,피플앤스토리\4월\2026년 4월 피플앤스토리 정산상세.xlsx,다운로드,include_candidate,detail sheet candidate,5,11,1,2,2,1,2,0,detail_candidate,merged_cells,ISBN | 관리코드 | 작품명 | 작가명 | CP사 | 출판사 | 판매사이트 | 단가(원) | 건수(건) | 판매금액(원) | 정산금액(원)
하이북,하이북\4월\2026년 4월 하이북 정산상세.xlsx,정산리스트,include_candidate,detail sheet candidate,318,16,1,2,0,1,2,0,detail_candidate,,작품명 | 작가명 | 출판사 | prodSq | 정산일 | 정산주기 | 정산상태 | 조회수(구매) | 판매금액(구매) | 정산금액(구매) | 조회수(대여) | 판매금액(대여) | 정산금액(대여) | 조회수 | 판매금액 | 정산금액
한아름,한아름\4월\2026년 4월 한아름 정산상세.xlsx,Sheet1,special_parser_only,non-rectangular multi-section sheet; repeated internal headers,10979,11,27,0,0,4,2,0,detail_candidate,large_row_count,시간매출 | 건당매출 | 총매출액 | 배분률 | 정산금액
