platform,schema_signature,sheet_count,file_count,standard_field,candidate_order,candidate_header,score,status,examples
스토린랩,서점명|판매건수|매출|b2bc정산율|정산총액,7,7,sale_amount,1,매출,3,manual_review,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx::정리 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::정리
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,4,정산처,2,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,5,정산유형,2,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,6,2차정산여부,2,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,3,정액제 정산대상액,4,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,2,입금액,8,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,settlement_base_amount,1,정산액,10,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,sale_amount,3,합계,3,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,sale_amount,2,판매총액,4,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
스토린랩,판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액,6,6,sale_amount,1,판매금액,9,adapter_candidate,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx::원스 || 스토린랩\25년\12월\2025년 12월 스토린랩 정산상세.xlsx::원스
