platform,sheet_count,file_count,status,schema_signature,top_sheet_names,header_row_distribution,row_count_min,row_count_max,column_count_min,column_count_max,flags,raw_title_candidates,external_content_id_candidates,sale_amount_candidates,settlement_base_amount_candidates,offset_amount_candidates,headers_preview,examples
토스(구루컴퍼니),1,1,adapter_candidate,공급사|작품유형|작품번호|작품명|레이블|작가|사용코인|콘텐츠매출금액|결제수수료|정산대상금액|콘텐츠정산금액,25년 8월 토스(1),1:1,55,55,11,11,,작품명(10) | 작품유형(2) | 콘텐츠 매출금액(2) | 콘텐츠 정산금액(2),작품번호(3),콘텐츠 매출금액(5) | 사용코인(3),콘텐츠 정산금액(8) | 정산 대상금액(2),결제수수료(5),공급사 | 작품유형 | 작품번호 | 작품명 | 레이블 | 작가 | 사용코인 | 콘텐츠 매출금액 | 결제수수료 | 정산 대상금액 | 콘텐츠 정산금액,토스(구루컴퍼니)\25년\8월\25년 8월 토스 정산상세.xlsx::25년 8월 토스
원스토어,7,7,adapter_candidate,파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|상품명|회차|상품id|2차정산여부|카테고리|출판사|글작가|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매|취소|합계|결제수단|원화환산|앱마켓수수료|서비스이용료|정산지급액|정산유형,multimedia(7),1:7,17399,23099,40,40,merged_cells:7 | large_row_count:7,채널상품명(10) | 상품명(8),채널상품ID(9) | 상품ID(7) | 파트너ID(3),합계(3),정액제 정산대상액(4) | 정산유형(2) | 정산지급액(2) | 2차정산여부(2),앱마켓수수료(4),파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 상품명 | 회차 | 상품ID | 2차정산여부 | 카테고리 | 출판사 | 글작가 | 그림작가 | 타입 | 판매건수 | 취소건수 | 정액제 정산대상액 | 판매 | 취소 | 합계 | 결제수단 | 원화환산 | 앱마켓수수료 | 서비스이용료 | 정산지급액 | 정산유형,원스토어\1월\2026년 1월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\10월\2025년 10월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\11월\2025년 11월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\12월\2025년 12월 원스토어 정산상세.xlsx::multimedia || 원스토어\25년\9월\2025년 9월 원스토어 정산상세.xlsx::multimedia
하이북,7,7,adapter_candidate,작품명|작가명|출판사|prodsq|정산일|정산주기|정산상태|조회수구매|판매금액구매|정산금액구매|조회수대여|판매금액대여|정산금액대여|조회수|판매금액|정산금액,정산리스트(7),1:7,318,392,16,16,,작품명(10),,판매금액(9) | 판매금액(구매)(3) | 판매금액(대여)(3),정산금액(11) | 정산금액(구매)(5) | 정산금액(대여)(5) | 정산주기(2) | 정산상태(2),,작품명 | 작가명 | 출판사 | prodSq | 정산일 | 정산주기 | 정산상태 | 조회수(구매) | 판매금액(구매) | 정산금액(구매) | 조회수(대여) | 판매금액(대여) | 정산금액(대여) | 조회수 | 판매금액 | 정산금액,하이북\1월\2026년 1월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\10월\2025년 10월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\11월\2025년 11월 하이북 정산상세.xlsx::정산리스트 || 하이북\25년\12월\2025년 12월 하이북 정산상세.xlsx::정산리스트 || 하이북\2월\2026년 2월 하이북 정산상세.xlsx::정산리스트
피플앤스토리,6,6,manual_review,__NO_SIGNATURE__::다운로드::cols11,다운로드(6),none:6,5,7,11,11,merged_cells:6 | no_header_candidate:6,,,,,,,피플앤스토리\1월\2026년 1월 피플앤스토리 정산상세.xlsx::다운로드 || 피플앤스토리\25년\10월\2025년 10월 피플앤스토리 정산상세.xlsx::다운로드 || 피플앤스토리\25년\12월\2025년 12월 피플앤스토리 정산상세.xlsx::다운로드 || 피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx::다운로드 || 피플앤스토리\3월\2026년 3월 피플앤스토리 정산상세.xlsx::다운로드
북팔,3,3,adapter_candidate,순번|필명|아이디|작품명|판매수|매출|배분율|수익금|비고,마켓(3),9:3,13,100,10,10,merged_cells:3,작품명(10),,매출(3),수익금(2),,순번 | 필명 | 아이디 | 작품명 | 판매수 | 매출 | 배분율 | 수익금 | 비고,북팔\10월\2025년 10월 북팔 정산상세.xlsx::마켓 || 북팔\11월\2025년 11월 북팔 핫딜수익금 정산상세.xlsx::마켓 || 북팔\9월\2025년 9월 북팔 정산상세.xlsx::마켓
북팔,3,3,manual_review,__NO_SIGNATURE__::Sheet::cols1,Sheet(3),none:3,1,1,1,1,hidden_sheet:3 | no_header_candidate:3,,,,,,,북팔\10월\2025년 10월 북팔 정산상세.xlsx::Sheet || 북팔\11월\2025년 11월 북팔 핫딜수익금 정산상세.xlsx::Sheet || 북팔\9월\2025년 9월 북팔 정산상세.xlsx::Sheet
북팔,1,1,adapter_candidate,날짜|구분|순서|아이디|닉네임|작품명|수익|카운트,2025-11-01 ~ 2025-11-30(1),1:1,89,89,8,8,,작품명(10),,,수익(3),,날짜 | 구분 | 순서 | 아이디 | 닉네임 | 작품명 | 수익 | 카운트,북팔\11월\2025년 11월 북팔 정산상세.xlsx::2025-11-01 ~ 2025-11-30
피플앤스토리,1,1,adapter_candidate,isbn|관리코드|작품명|작가명|cp사|출판사|판매사이트|단가원|건수건|판매금액원|정산금액원,다운로드(1),1:1,9,9,11,11,merged_cells:1,작품명(10),ISBN(7) | 관리코드(5),판매금액(원)(3),정산금액(원)(5),,ISBN | 관리코드 | 작품명 | 작가명 | CP사 | 출판사 | 판매사이트 | 단가(원) | 건수(건) | 판매금액(원) | 정산금액(원),피플앤스토리\25년\11월\2025년 11월 피플앤스토리 정산상세.xlsx::다운로드
북큐브,6,6,manual_review,__NO_SIGNATURE__::Sheet1::cols19,Sheet1(6),none:6,117,687,19,19,no_header_candidate:6,,,,,,,북큐브\10월\2025년 10월 북큐브(로맨스) 정산상세.xlsx::Sheet1 || 북큐브\10월\2025년 10월 북큐브(판무) 정산상세.xlsx::Sheet1 || 북큐브\11월\2025년 11월 북큐브(로맨스) 정산상세.xlsx::Sheet1 || 북큐브\11월\2025년 11월 북큐브(판무) 정산상세.xlsx::Sheet1 || 북큐브\9월\2025년 9월 북큐브(로맨스) 정산상세.xlsx::Sheet1
스낵북,6,6,adapter_candidate,작품id|작품명|필자명|정산비율|판매원|정산원|코인타입,settle_list_202601_C262666768_2(1) | settle_list_202510_C262666768_2(1) | settle_list_202511_C262666768_2(1) | settle_list_202512_C262666768_2(1) | settle_list_202602_C262666768_2(1) | settle_list_202603_C262666768_2(1),1:6,8,22,7,7,,작품명(10),작품ID(3),,정산(원)(2),,작품ID | 작품명 | 필자명 | 정산비율 | 판매(원) | 정산(원) | 코인타입,스낵북\1월\2026년 1월 스낵북 정산상세.xlsx::settle_list_202601_C262666768_2 || 스낵북\25년\10월\2025년 10월 스낵북 정산상세.xlsx::settle_list_202510_C262666768_2 || 스낵북\25년\11월\2025년 11월 스낵북 정산상세.xlsx::settle_list_202511_C262666768_2 || 스낵북\25년\12월\2025년 12월 스낵북 정산상세.xlsx::settle_list_202512_C262666768_2 || 스낵북\2월\2026년 2월 스낵북 정산상세.xlsx::settle_list_202602_C262666768_2
