청구정산마스터ID,계약ID,판매채널ID,판매채널명,대표콘텐츠명,정제_대표콘텐츠명,청구정산상태,승인상태,거래처명,계약명,계약종료일,계약콘텐츠수,담당자,담당부서,분리사유
601098,84874,321,중국-콰이칸(봄툰B2BC),허상의 관계 (CN),허상의관계,운영중,승인,"Beijing Kuaikan Dimensional Information Technology Co., Ltd.","20260325_나의 하나뿐인 고양이 (CN)외2_Beijing Kuaikan Dimensional Information Technology Co., Ltd.",2026-01-05,1,이한별,해외사업팀,청구정산 후보
601097,84874,321,중국-콰이칸(봄툰B2BC),나의 하나뿐인 고양이 (CN),나의하나뿐인고양이,운영중,승인,"Beijing Kuaikan Dimensional Information Technology Co., Ltd.","20260325_나의 하나뿐인 고양이 (CN)외2_Beijing Kuaikan Dimensional Information Technology Co., Ltd.",2026-01-05,1,이한별,해외사업팀,청구정산 후보
601096,84872,1343,CN-Feiyao,그레이스 길들이기 (CN),그레이스길들이기,운영중,승인,"HangzhouFeiyao Culture Media.co., LTD","20260325_그레이스 길들이기 (CN)_HangzhouFeiyao Culture Media.co., LTD",2026-03-25,1,이한별,해외사업팀,청구정산 후보
601095,84840,1219,레진JP-서드파티(레진엔터테인먼트),알파를 원하는 이유,알파를원하는이유,운영중,승인,레진엔터테인먼트,20260324_알파를 원하는 이유_레진엔터테인먼트,2025-06-25,1,최은주,일본유통팀,청구정산 후보
601094,84839,1219,레진JP-서드파티(레진엔터테인먼트),이 각인 환불해주세요!,이각인환불해주세요,운영중,승인,레진엔터테인먼트,20260324_이 각인 환불해주세요!_레진엔터테인먼트,2025-05-01,1,장다미,일본유통팀,청구정산 후보
601093,84838,1219,레진JP-서드파티(레진엔터테인먼트),이룡의 반려,이룡의반려,운영중,승인,레진엔터테인먼트,20260324_이룡의 반려_레진엔터테인먼트,2025-06-01,1,장다미,일본유통팀,청구정산 후보
601092,84822,446,유로커뮤니케이션,보스,보스,운영중,승인,유로커뮤니케이션,20260323_보스_유로커뮤니케이션,2026-01-27,1,이희연,Sql Error,청구정산 후보
601090,84760,554,레진JP(봄툰B2BC)(F000000019),레프트 플룩 퍼블릭 스쿨,레프트플룩퍼블릭스쿨,운영중,미승인,레진엔터테인먼트,20260318_레프트 플룩 퍼블릭 스쿨_레진엔터테인먼트,2024-04-01,1,최세은,소싱2팀,청구정산 후보
601089,84759,554,레진JP(봄툰B2BC)(F000000019),리틀 빗 싸이코,리틀빗싸이코,운영중,미승인,레진엔터테인먼트,20260318_리틀 빗 싸이코_레진엔터테인먼트,2024-11-20,1,최세은,소싱2팀,청구정산 후보
601088,84754,563,벨툰JP(봄툰B2BC)(F000000019),애증과 애정사이,애증과애정사이,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601087,84754,563,벨툰JP(봄툰B2BC)(F000000019),"아기 삵을 낳아줘, 나 미치는 꼴 보기 싫으면!",아기삵을낳아줘나미치는꼴보기싫으면,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601086,84754,563,벨툰JP(봄툰B2BC)(F000000019),순조로운 삶,순조로운삶,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601085,84754,563,벨툰JP(봄툰B2BC)(F000000019),그래서 누가 깔린건데?,그래서누가깔린건데,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601084,84754,554,레진JP(봄툰B2BC)(F000000019),애증과 애정사이,애증과애정사이,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601083,84754,554,레진JP(봄툰B2BC)(F000000019),"아기 삵을 낳아줘, 나 미치는 꼴 보기 싫으면!",아기삵을낳아줘나미치는꼴보기싫으면,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
601082,84754,554,레진JP(봄툰B2BC)(F000000019),순조로운 삶,순조로운삶,운영중,미승인,레진엔터테인먼트,20260318_그래서 누가 깔린건데?외3_레진엔터테인먼트,2025-10-20,1,최세은,소싱2팀,청구정산 후보
