청구정산마스터ID,계약ID,판매채널ID,판매채널명,대표콘텐츠명,정제_대표콘텐츠명,청구정산상태,승인상태,거래처명,계약명,계약종료일,계약콘텐츠수,담당자,담당부서,분리사유
600980,83406,1107,블라이스 셀렉트,굿바이 악마,굿바이악마,운영중,승인,주식회사 밀리의서재,20260102_가면 쓴 여자 외 6종_주식회사 밀리의서재,2026-01-02,1,이혜정,Sql Error,청구정산 후보
600979,83406,1107,블라이스 셀렉트,가면 쓴 여자,가면쓴여자,운영중,승인,주식회사 밀리의서재,20260102_가면 쓴 여자 외 6종_주식회사 밀리의서재,2026-01-02,1,이혜정,Sql Error,청구정산 후보
600975,83401,1209,대만-seekpage,1995 청춘 레포트,청춘레포트,운영중,승인,SeekPage Culture Ltd,20251212_1995 청춘 레포트_SeekPage Culture Ltd,2025-12-12,1,김수영,Sql Error,청구정산 후보
600974,83400,1024,이탈리아-준도,"디어도어(이탈리아어, 6-11권)",디어도어,운영중,승인,Jundo S.R.L,"20251223_디어도어(이탈리아어, 6-11권)_Jundo S.R.L",2025-12-23,1,신수민,Sql Error,청구정산 후보
600972,83394,31,카카오페이지(선투자),카카오 25차 정보석 선투자_수정,카카오차정보석선투자수정,종료,미승인,주식회사 카카오엔터테인먼트,20260102_카카오 25차 정보석 선투자_수정_주식회사 카카오엔터테인먼트,2026-01-02,1,홍지표,소설편집팀,청구정산 후보
600971,83393,31,카카오페이지(선투자),정보석 카카오선투자 25차,정보석카카오선투자차,운영중,승인,주식회사 카카오엔터테인먼트,20260102_정보석 카카오선투자 26차_주식회사 카카오엔터테인먼트,2026-01-02,1,홍지표,소설편집팀,청구정산 후보
600970,83376,31,카카오페이지(선투자),주인공 옆에 붙어만 있겠습니다,주인공옆에붙어만있겠습니다,운영중,승인,주식회사 카카오엔터테인먼트,20251230_주인공 옆에 붙어만 있겠습니다_주식회사 카카오엔터테인먼트,2025-12-01,1,박민지,Sql Error,청구정산 후보
600969,83369,1106,밀리의 서재,나의 오싹한 소년에게,나의오싹한소년에게,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600968,83369,1106,밀리의 서재,삼삼이네 집,삼삼이네집,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600967,83369,1106,밀리의 서재,폭군의 실록,폭군의실록,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600966,83369,1106,밀리의 서재,야간개장,야간개장,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600965,83369,1106,밀리의 서재,사랑과 정열,사랑과정열,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600964,83369,1106,밀리의 서재,극락신선,극락신선,운영중,승인,주식회사 밀리의서재,20251230_극락신선_주식회사 밀리의서재,2025-12-19,1,박민지,Sql Error,청구정산 후보
600963,83350,31,카카오페이지(선투자),카카오 선투자_구로수번 작가_11차,카카오선투자구로수번작가차,운영중,승인,주식회사 카카오엔터테인먼트,20251229_카카오 선투자_구로수번 작가_11차_주식회사 카카오엔터테인먼트,2025-12-01,1,한재현,소설편집팀,청구정산 후보
600962,83339,32,카카오페이지(소설),<복수하는 김에 재벌도 되겠습니다> 및 카카오페이지 서비스 작품 일체,복수하는김에재벌도되겠습니다및카카오페이지서비스작품일체,운영중,미승인,주식회사 카카오엔터테인먼트,20251229_ <복수하는 김에 재벌도 되겠습니다> 및 카카오페이지 서비스 작품 일체_주식회사 카카오엔터테인먼트,2025-12-29,1,천승민,소설편집팀,청구정산 후보
600961,83339,31,카카오페이지(선투자),<복수하는 김에 재벌도 되겠습니다> 및 카카오페이지 서비스 작품 일체,복수하는김에재벌도되겠습니다및카카오페이지서비스작품일체,운영중,승인,주식회사 카카오엔터테인먼트,20251229_ <복수하는 김에 재벌도 되겠습니다> 및 카카오페이지 서비스 작품 일체_주식회사 카카오엔터테인먼트,2025-12-29,1,천승민,소설편집팀,청구정산 후보
600960,83329,31,카카오페이지(선투자),<걸황무적> 및 송재일 작가 카카오페이지 서비스 작품 일체,걸황무적및송재일작가카카오페이지서비스작품일체,운영중,승인,주식회사 카카오엔터테인먼트,20260401_<걸황무적> 및 송재일 작가 카카오페이지 서비스 작품 일체_주식회사 카카오엔터테인먼트,2026-04-01,1,김경민,소설편집팀,청구정산 후보
600959,83266,1024,이탈리아-준도,타치바나 백작 (이탈리아),타치바나백작,운영중,승인,Jundo S.R.L,20251222_타치바나 백작 (이탈리아)_Jundo S.R.L,2025-12-22,1,신수민,Sql Error,청구정산 후보
600958,83263,31,카카오페이지(선투자),근육조선,근육조선,운영중,승인,주식회사 카카오엔터테인먼트,20251223_근육조선_주식회사 카카오엔터테인먼트,2025-12-01,1,박민지,Sql Error,청구정산 후보
600957,83238,456,리디북스(웹툰),선을 넘는 날,선을넘는날,운영중,승인,리디 주식회사,20251222_선을 넘는 날_리디 주식회사,2025-12-17,1,이혜정,Sql Error,청구정산 후보
600956,83228,563,벨툰JP(봄툰B2BC)(F000000019),토이 대디(TOY DADDY),토이대디,운영중,미승인,레진엔터테인먼트,20251222_토이 대디(TOY DADDY)_레진엔터테인먼트,2025-06-20,1,최세은,글로벌소싱팀,청구정산 후보
600955,83228,554,레진JP(봄툰B2BC)(F000000019),토이 대디(TOY DADDY),토이대디,운영중,미승인,레진엔터테인먼트,20251222_토이 대디(TOY DADDY)_레진엔터테인먼트,2025-06-20,1,최세은,글로벌소싱팀,청구정산 후보
600954,83145,563,벨툰JP(봄툰B2BC)(F000000019),러브 올 플레이(LOVE ALL PLAY),러브올플레이,운영중,미승인,레진엔터테인먼트,20251218_러브 올 플레이(LOVE ALL PLAY)_레진엔터테인먼트,2024-11-20,1,최세은,글로벌소싱팀,청구정산 후보
600953,83145,554,레진JP(봄툰B2BC)(F000000019),러브 올 플레이(LOVE ALL PLAY),러브올플레이,운영중,미승인,레진엔터테인먼트,20251218_러브 올 플레이(LOVE ALL PLAY)_레진엔터테인먼트,2024-11-20,1,최세은,글로벌소싱팀,청구정산 후보
600952,83144,563,벨툰JP(봄툰B2BC)(F000000019),엑스트라 버진,엑스트라버진,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600951,83144,563,벨툰JP(봄툰B2BC)(F000000019),F to F,ftof,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600950,83144,563,벨툰JP(봄툰B2BC)(F000000019),취향존중,취향존중,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600949,83144,563,벨툰JP(봄툰B2BC)(F000000019),창문 속 남자,창문속남자,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600948,83144,563,벨툰JP(봄툰B2BC)(F000000019),저는 잘생긴 너드남이 좋은데요?!,저는잘생긴너드남이좋은데요,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600947,83144,563,벨툰JP(봄툰B2BC)(F000000019),설화적 비즈니스,설화적비즈니스,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600946,83144,563,벨툰JP(봄툰B2BC)(F000000019),삼천포로 빠지기 쉽습니다,삼천포로빠지기쉽습니다,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600945,83144,563,벨툰JP(봄툰B2BC)(F000000019),볶은 콩에 싹이 날까?,볶은콩에싹이날까,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600944,83144,563,벨툰JP(봄툰B2BC)(F000000019),밤의 관계,밤의관계,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600943,83144,563,벨툰JP(봄툰B2BC)(F000000019),다리 세 개 용사님,다리세개용사님,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600942,83144,563,벨툰JP(봄툰B2BC)(F000000019),드리밍 트라이앵글,드리밍트라이앵글,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600941,83144,563,벨툰JP(봄툰B2BC)(F000000019),냥자친구 길들이기,냥자친구길들이기,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600940,83144,563,벨툰JP(봄툰B2BC)(F000000019),낭만 묵시록,낭만묵시록,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600939,83144,563,벨툰JP(봄툰B2BC)(F000000019),교수 탐구 일지(가제),교수탐구일지,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600938,83144,563,벨툰JP(봄툰B2BC)(F000000019),가지꽃의 나하쉬,가지꽃의나하쉬,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600937,83144,554,레진JP(봄툰B2BC)(F000000019),엑스트라 버진,엑스트라버진,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600936,83144,554,레진JP(봄툰B2BC)(F000000019),F to F,ftof,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600935,83144,554,레진JP(봄툰B2BC)(F000000019),취향존중,취향존중,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600934,83144,554,레진JP(봄툰B2BC)(F000000019),창문 속 남자,창문속남자,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600933,83144,554,레진JP(봄툰B2BC)(F000000019),저는 잘생긴 너드남이 좋은데요?!,저는잘생긴너드남이좋은데요,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600932,83144,554,레진JP(봄툰B2BC)(F000000019),설화적 비즈니스,설화적비즈니스,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600931,83144,554,레진JP(봄툰B2BC)(F000000019),삼천포로 빠지기 쉽습니다,삼천포로빠지기쉽습니다,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600930,83144,554,레진JP(봄툰B2BC)(F000000019),볶은 콩에 싹이 날까?,볶은콩에싹이날까,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600929,83144,554,레진JP(봄툰B2BC)(F000000019),밤의 관계,밤의관계,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600928,83144,554,레진JP(봄툰B2BC)(F000000019),다리 세 개 용사님,다리세개용사님,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600927,83144,554,레진JP(봄툰B2BC)(F000000019),드리밍 트라이앵글,드리밍트라이앵글,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600926,83144,554,레진JP(봄툰B2BC)(F000000019),냥자친구 길들이기,냥자친구길들이기,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600925,83144,554,레진JP(봄툰B2BC)(F000000019),낭만 묵시록,낭만묵시록,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600924,83144,554,레진JP(봄툰B2BC)(F000000019),교수 탐구 일지(가제),교수탐구일지,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600923,83144,554,레진JP(봄툰B2BC)(F000000019),가지꽃의 나하쉬,가지꽃의나하쉬,운영중,미승인,레진엔터테인먼트,20251218_가지꽃의 나하쉬외14_레진엔터테인먼트,2025-08-01,1,최세은,글로벌소싱팀,청구정산 후보
600922,83143,563,벨툰JP(봄툰B2BC)(F000000019),내겐 너무 귀여운 그 새끼,내겐너무귀여운그새끼,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600921,83143,563,벨툰JP(봄툰B2BC)(F000000019),명성이 따르는 연애,명성이따르는연애,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600920,83143,563,벨툰JP(봄툰B2BC)(F000000019),무단침애,무단침애,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600919,83143,563,벨툰JP(봄툰B2BC)(F000000019),문퀘이크,문퀘이크,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600918,83143,563,벨툰JP(봄툰B2BC)(F000000019),미혹의 경계,미혹의경계,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600917,83143,563,벨툰JP(봄툰B2BC)(F000000019),스테이지 비하인드,스테이지비하인드,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600916,83143,563,벨툰JP(봄툰B2BC)(F000000019),토끼굴,토끼굴,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600915,83143,554,레진JP(봄툰B2BC)(F000000019),내겐 너무 귀여운 그 새끼,내겐너무귀여운그새끼,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600914,83143,554,레진JP(봄툰B2BC)(F000000019),명성이 따르는 연애,명성이따르는연애,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600913,83143,554,레진JP(봄툰B2BC)(F000000019),무단침애,무단침애,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600912,83143,554,레진JP(봄툰B2BC)(F000000019),문퀘이크,문퀘이크,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600911,83143,554,레진JP(봄툰B2BC)(F000000019),미혹의 경계,미혹의경계,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600910,83143,554,레진JP(봄툰B2BC)(F000000019),스테이지 비하인드,스테이지비하인드,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600909,83143,554,레진JP(봄툰B2BC)(F000000019),토끼굴,토끼굴,운영중,미승인,레진엔터테인먼트,20251218_토끼굴외6_레진엔터테인먼트,2025-06-01,1,최세은,글로벌소싱팀,청구정산 후보
600908,83132,563,벨툰JP(봄툰B2BC)(F000000019),호랑이님 잘 먹었습니다,호랑이님잘먹었습니다,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600907,83132,563,벨툰JP(봄툰B2BC)(F000000019),작전명! 친구탈출,작전명친구탈출,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600906,83132,563,벨툰JP(봄툰B2BC)(F000000019),알파를 원하는 이유,알파를원하는이유,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600905,83132,563,벨툰JP(봄툰B2BC)(F000000019),악작,악작,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600904,83132,563,벨툰JP(봄툰B2BC)(F000000019),스케치,스케치,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600903,83132,563,벨툰JP(봄툰B2BC)(F000000019),드렁큰 마이 보스,드렁큰마이보스,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600902,83132,563,벨툰JP(봄툰B2BC)(F000000019),대물전,대물전,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600901,83132,563,벨툰JP(봄툰B2BC)(F000000019),끊을 수 없는 건,끊을수없는건,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600900,83132,563,벨툰JP(봄툰B2BC)(F000000019),공작님은 후사를 갖고 싶어,공작님은후사를갖고싶어,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600899,83132,554,레진JP(봄툰B2BC)(F000000019),호랑이님 잘 먹었습니다,호랑이님잘먹었습니다,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600898,83132,554,레진JP(봄툰B2BC)(F000000019),작전명! 친구탈출,작전명친구탈출,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600897,83132,554,레진JP(봄툰B2BC)(F000000019),알파를 원하는 이유,알파를원하는이유,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600896,83132,554,레진JP(봄툰B2BC)(F000000019),악작,악작,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600895,83132,554,레진JP(봄툰B2BC)(F000000019),스케치,스케치,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600894,83132,554,레진JP(봄툰B2BC)(F000000019),드렁큰 마이 보스,드렁큰마이보스,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600893,83132,554,레진JP(봄툰B2BC)(F000000019),대물전,대물전,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600892,83132,554,레진JP(봄툰B2BC)(F000000019),끊을 수 없는 건,끊을수없는건,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600891,83132,554,레진JP(봄툰B2BC)(F000000019),공작님은 후사를 갖고 싶어,공작님은후사를갖고싶어,운영중,미승인,레진엔터테인먼트,20251218_공작님은 후사를 갖고 싶어외8_레진엔터테인먼트,2025-06-25,1,최세은,글로벌소싱팀,청구정산 후보
600886,83003,1076,중국-빌리빌리,쥐뿔도 없는 회귀,쥐뿔도없는회귀,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600885,83003,1076,중국-빌리빌리,식사하고 가세요!,식사하고가세요,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600884,83003,1076,중국-빌리빌리,내게 집착하세요,내게집착하세요,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600883,83003,1076,중국-빌리빌리,남주는 정중히 사양하겠습니다,남주는정중히사양하겠습니다,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600882,83003,1076,중국-빌리빌리,남동생이 꽃길을 강요한다,남동생이꽃길을강요한다,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600881,83003,1076,중국-빌리빌리,백작가의 사생아가 결혼하면,백작가의사생아가결혼하면,운영중,승인,"Shanghai Hehehe Culture Communication Co., Ltd.","20250831_SUPPLEMENTAL AGREEMENT_Shanghai Hehehe Culture Communication Co., Ltd.",2025-08-31,1,이한별,해외사업팀,청구정산 후보
600880,82969,1002,대만-리브북스,호식이이야기 수정 합의서,호식이이야기수정합의서,운영중,승인,"REVE BOOKS CO., LTD","20251117_호식이이야기 수정 합의서_REVE BOOKS CO., LTD",2025-11-17,1,김수영,Sql Error,청구정산 후보
600879,82968,1002,대만-리브북스,물가의 밤 3-4권,물가의밤,운영중,승인,"REVE BOOKS CO., LTD","20251125_물가의 밤 3-4권_REVE BOOKS CO., LTD",2025-11-25,1,김수영,Sql Error,청구정산 후보
600878,82967,1107,블라이스 셀렉트,나의오싹한소년에게,나의오싹한소년에게,운영중,승인,주식회사 밀리의서재,20251202_야간개장_주식회사 밀리의서재,2025-05-31,1,이혜정,Sql Error,청구정산 후보
600877,82967,1107,블라이스 셀렉트,야간개장,야간개장,운영중,승인,주식회사 밀리의서재,20251202_야간개장_주식회사 밀리의서재,2025-05-31,1,이혜정,Sql Error,청구정산 후보
600876,82966,1107,블라이스 셀렉트,크고 아름다워♥,크고아름다워♥,운영중,승인,주식회사 밀리의서재,20251202_크고 아름다워♥_주식회사 밀리의서재,2025-05-31,1,이혜정,Sql Error,청구정산 후보
600873,82794,1083,프랑스-네이버,시절연애,시절연애,운영중,승인,네이버웹툰 유한회사,20251014_시절연애_네이버웹툰 유한회사,2025-10-14,1,이한별,해외사업팀,청구정산 후보
600872,82794,546,태국-네이버,시절연애,시절연애,운영중,승인,네이버웹툰 유한회사,20251014_시절연애_네이버웹툰 유한회사,2025-10-14,1,이한별,해외사업팀,청구정산 후보
600871,82794,547,인도네시아-네이버,시절연애,시절연애,운영중,승인,네이버웹툰 유한회사,20251014_시절연애_네이버웹툰 유한회사,2025-10-14,1,이한별,해외사업팀,청구정산 후보
600870,82794,539,대만-네이버,시절연애,시절연애,운영중,승인,네이버웹툰 유한회사,20251014_시절연애_네이버웹툰 유한회사,2025-10-14,1,이한별,해외사업팀,청구정산 후보
600869,82794,1204,네이버-스페인,시절연애,시절연애,운영중,승인,네이버웹툰 유한회사,20251014_시절연애_네이버웹툰 유한회사,2025-10-14,1,이한별,해외사업팀,청구정산 후보
600868,82773,1298,중국-텐센트,늪 속의 불,늪속의불,운영중,승인,"Shenzhen Yuerong Information Technology Co., Ltd","20251021_늪 속의 불_Shenzhen Yuerong Information Technology Co., Ltd",2025-10-21,1,이한별,해외사업팀,청구정산 후보
600867,82769,469,카카오페이지(웹툰),쥐뿔도 없는 회귀,쥐뿔도없는회귀,운영중,승인,주식회사 카카오엔터테인먼트,20251126_쥐뿔도 없는 회귀_주식회사 카카오엔터테인먼트,2025-11-01,1,박민지,Sql Error,청구정산 후보
600866,82768,469,카카오페이지(웹툰),악마는 레이디를 키운다,악마는레이디를키운다,운영중,승인,주식회사 카카오엔터테인먼트,20251126_악마는 레이디를 키운다_주식회사 카카오엔터테인먼트,2025-11-01,1,박민지,Sql Error,청구정산 후보
600865,82742,534,중국-콰이칸,늪 속의 불,늪속의불,운영중,승인,"Beijing Kuaikan Dimensional Information Technology Co., Ltd.","20251125_늪 속의 불_Beijing Kuaikan Dimensional Information Technology Co., Ltd.",2025-11-25,1,이한별,해외사업팀,청구정산 후보
600864,82665,31,카카오페이지(선투자),(카카오선투자) 강동호 작가 작품 일체,강동호작가작품일체,운영중,승인,주식회사 카카오엔터테인먼트,20251120_(카카오선투자) 강동호 작가 작품 일체_주식회사 카카오엔터테인먼트,2025-11-20,1,홍지표,소설편집팀,청구정산 후보
600860,82554,1205,대만-건행문화,가을이 겨울에 스며든다,가을이겨울에스며든다,운영중,승인,"Chien Hsing Publishing Co.,Ltd","20251024_가을이 겨울에 스며든다_special edition_Chien Hsing Publishing Co.,Ltd",2025-10-24,1,김수영,Sql Error,청구정산 후보
600859,82522,454,네이버(웹툰),레드 레인,레드레인,운영중,승인,네이버웹툰 유한회사,20251105_레드 레인_네이버웹툰 유한회사,2024-03-29,1,박민지,Sql Error,청구정산 후보
