판매채널콘텐츠ID,콘텐츠ID,콘텐츠명,정제_콘텐츠명,판매채널ID,판매채널명,그룹콘텐츠ID,그룹콘텐츠명,플랫폼콘텐츠ID,콘텐츠형태,콘텐츠상태,최초연재일,담당자,담당부서,정산시작여부,제외사유
124664,123521,참지 않는 그대에게,참지않는그대에게,1,봄툰KR(1068149784),467706,참지않는그대에게,29506,소설,완결,2023-07-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
124673,123530,저스트 원바잇,저스트원바잇,1,봄툰KR(1068149784),467714,저스트원바잇,30173,소설,완결,2023-08-21,남단미,패밀리케어팀,Y,S2 정산정보 누락 건 등재
124846,123695,[정산정보없음]_원나잇 노썸씽,원나잇노썸씽,1,봄툰KR(1068149784),467816,원나잇노썸씽,9868,소설,완결,2019-04-03,이선근,소설편집팀,N,S2 정산정보 누락 건 등재
124901,123750,알파 읽는 오메가,알파읽는오메가,1,봄툰KR(1068149784),467864,알파읽는오메가,16293,소설,완결,2020-12-31,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
124902,123751,파운드 오브제,파운드오브제,1,봄툰KR(1068149784),467865,파운드오브제,16449,소설,완결,2020-12-24,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
124903,114848,원나잇 투나잇,원나잇투나잇,1,봄툰KR(1068149784),461032,원나잇투나잇,16470,소설,완결,2020-12-17,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125194,124028,여신이 오고 있어,여신이오고있어,1,봄툰KR(1068149784),468072,여신이오고있어,13418,소설,완결,2020-11-16,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125215,124049,퍼킹 온 헤븐즈 도어,퍼킹온헤븐즈도어,1,봄툰KR(1068149784),468092,퍼킹온헤븐즈도어,15980,소설,완결,2020-12-16,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125219,124053,사랑은 직진,사랑은직진,1,봄툰KR(1068149784),468096,사랑은직진,16294,소설,완결,2020-12-14,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125220,124054,야수의 요람 (외전증보판),야수의요람,1,봄툰KR(1068149784),468097,야수의요람(외전증보판),17109,소설,완결,2021-02-09,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125221,124055,엄마 친구 아들,엄마친구아들,1,봄툰KR(1068149784),468098,엄마친구아들,17280,소설,완결,2021-03-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125254,124088,바람피우지 마세요,바람피우지마세요,1,봄툰KR(1068149784),468130,바람피우지마세요,22157,소설,완결,2022-03-10,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125513,124334,아찔하게 스며드는,아찔하게스며드는,1,봄툰KR(1068149784),468316,아찔하게스며드는,13755,소설,완결,2020-05-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125537,124358,"가질 수 없고, 같을 수 없는…",가질수없고같을수없는,1,봄툰KR(1068149784),468340,"가질수없고,같을수없는…",16835,소설,완결,2021-01-18,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125567,124388,첨밀밀,첨밀밀,1,봄툰KR(1068149784),468369,첨밀밀,20268,소설,완결,2021-10-29,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125570,124391,프라비타스(Pravitas),프라비타스,1,봄툰KR(1068149784),468372,프라비타스(Pravitas),20459,소설,완결,2021-10-28,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125573,124394,"개만도 못한,",개만도못한,1,봄툰KR(1068149784),468375,"개만도못한,",21078,소설,완결,2021-12-04,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125853,124670,하룻밤이 필요해,하룻밤이필요해,1,봄툰KR(1068149784),468605,하룻밤이필요해,17288,소설,완결,2021-03-02,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125862,124679,왕,왕,1,봄툰KR(1068149784),468614,왕,18310,소설,완결,2021-05-31,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125870,124686,당신 하나만을 위한 꽃들이 피다,당신하나만을위한꽃들이피다,1,봄툰KR(1068149784),468620,당신하나만을위한꽃들이피다,19716,소설,완결,2021-09-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125901,124717,얼음이 녹아내리는 동안,얼음이녹아내리는동안,1,봄툰KR(1068149784),468647,얼음이녹아내리는동안,24938,소설,완결,2022-10-07,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
125993,124809,보닛 위로 올라와!,보닛위로올라와,1,봄툰KR(1068149784),464291,문피아,36271,소설,완결,2024-06-21,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126181,124983,대량 등록 로그인 체크,대량등록로그인체크,1,봄툰KR(1068149784),468859,대량등록로그인체크,22873,소설,시즌완결,2023-01-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126440,125228,재벌에겐 비밀이 있다,재벌에겐비밀이있다,1,봄툰KR(1068149784),469051,재벌에겐비밀이있다,15263,소설,완결,2020-09-25,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126458,125246,"라이벌을 넘어, 사랑",라이벌을넘어사랑,1,봄툰KR(1068149784),469067,"라이벌을넘어,사랑",17395,소설,완결,2021-03-11,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126488,125275,백스테이지(backstage),백스테이지,1,봄툰KR(1068149784),469094,백스테이지(backstage),22066,소설,완결,2022-03-01,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
126497,125284,"그러므로, 사랑",그러므로사랑,1,봄툰KR(1068149784),469100,"그러므로,사랑",24200,소설,완결,2022-08-14,권소현,소설유통팀,N,S2 정산정보 누락 건 등재
