cntrId,pymtSetlId,pymtSetlDtlId,pymtSetlSetmId,pymtSetlSetmYn,schnCtnsId,ctnsId,ctnsNm,pencNm,bcncNm,setlCyclCd,schnNm,ctnsStleCdNm,adpycPymtTyCd,adpycPymtTyCdNm,adpycStoffBlceTyCd,adpycStoffBlceTyCdNm,adpycCntrAmt,adpycPymtAmt,adpycStoffAmt,adpycStoffTyCdNm,adpycDprtTyCdNm,srcCrcy,pymtCrcy,rsSetlMthCd,rsSetlMthCdNm,webCoinUnpc,webCoinUnpcWithRt,appCoinUnpc,appCoinUnpcWithRt,webSetlRt,appSetlRt,rsSetlBnusCoinYn,cnfmStsCd,cnfmStsCdNm,pymtSetlStsCdNm,extOsamRsRt,extGramRsRt,chgerNm,chrgDeptNm,cretDtm,cnfmYn,승인상태,지급정산상태,판매채널명,콘텐츠형태,콘텐츠명,지급정산마스터ID,지급정산상세ID,콘텐츠ID,판매채널콘텐츠ID,지급정산마스터 등록 일자
0,108723,108723,108723,Y,482843.0,242766,"바람 피워요, 나랑",,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,"바람 피워요, 나랑",108723,108723,242766,482843.0,2024-12-31T12:00:00
0,108722,108722,108722,Y,158174.0,155579,미라클 일루션,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,미라클 일루션,108722,108722,155579,158174.0,2024-12-31T12:00:00
0,108721,108721,108721,Y,483268.0,243188,무책임,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,무책임,108721,108721,243188,483268.0,2024-12-31T12:00:00
0,108720,108720,108720,Y,155957.0,153490,무서운 계약,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,무서운 계약,108720,108720,153490,155957.0,2024-12-31T12:00:00
0,108719,108719,108719,Y,482447.0,242378,메리지 트리거,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,메리지 트리거,108719,108719,242378,482447.0,2024-12-31T12:00:00
0,108718,108718,108718,Y,131574.0,130177,마왕의 아이를 임신했습니다,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,마왕의 아이를 임신했습니다,108718,108718,130177,131574.0,2024-12-31T12:00:00
0,108717,108717,108717,Y,124332.0,123201,리비도 (Libido),,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,리비도 (Libido),108717,108717,123201,124332.0,2024-12-31T12:00:00
0,108716,108716,108716,Y,481759.0,241696,드링키 러블리,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,드링키 러블리,108716,108716,241696,481759.0,2024-12-31T12:00:00
0,108715,108715,108715,Y,128741.0,127459,뒷골목 블루스,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,뒷골목 블루스,108715,108715,127459,128741.0,2024-12-31T12:00:00
0,108714,108714,108714,Y,480907.0,240857,동생은 오빠의 신부를 꿈꾼다,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,동생은 오빠의 신부를 꿈꾼다,108714,108714,240857,480907.0,2024-12-31T12:00:00
0,108713,108713,108713,Y,480220.0,240179,동생과 친근하지 않으면 나갈 수 없는 방2,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,동생과 친근하지 않으면 나갈 수 없는 방2,108713,108713,240179,480220.0,2024-12-31T12:00:00
0,108712,108712,108712,Y,154036.0,151665,동생과 친근하지 않으면 나갈 수 없는 방,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,동생과 친근하지 않으면 나갈 수 없는 방,108712,108712,151665,154036.0,2024-12-31T12:00:00
0,108711,108711,108711,Y,482559.0,242490,독점적이고 배타적인 파멸에 관하여 (외전증보판),,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,독점적이고 배타적인 파멸에 관하여 (외전증보판),108711,108711,242490,482559.0,2024-12-31T12:00:00
0,108710,108710,108710,Y,482069.0,242002,달콤한 열매에는 짐승이 꼬인다,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,달콤한 열매에는 짐승이 꼬인다,108710,108710,242002,482069.0,2024-12-31T12:00:00
0,108709,108709,108709,Y,480980.0,240929,늑대 신랑,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,늑대 신랑,108709,108709,240929,480980.0,2024-12-31T12:00:00
0,108708,108708,108708,Y,155253.0,152816,느낌이 이상해,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,권소현,소설3팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,느낌이 이상해,108708,108708,152816,155253.0,2024-12-31T12:00:00
0,108707,108707,108707,Y,131562.0,130165,눈부신 이혼,,주식회사 텐북,,봄툰KR(1068149784),소설,999,없음,999,,0.0,0.0,0.0,없음,없음,KRW,KRW,003,코인당정산금액 X RS율,0.0,180.0,0.0,180.0,70.0,60.0,N,002,승인,운영중,0.0,0.0,조성경,봄툰콘텐츠팀,2024-12-31T12:00:00,Y,승인,운영중,봄툰KR(1068149784),소설,눈부신 이혼,108707,108707,130165,131562.0,2024-12-31T12:00:00
